"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463857103.82746";"около 2 тысяч";"72";"нейтральный";"986";"384";"";"3 года 11 месяцев";"около 180 тысяч";"181";"23 / 21";"11579";"19554";"0";"8411";"0";"13114";"8331";"0"
"1463860961.96579";"около 2 тысяч";"72";"нейтральный";"986";"384";"";"3 года 11 месяцев";"около 180 тысяч";"181";"23 / 21";"11579";"19554";"0";"8417";"0";"13129";"8337";"0"
"1463904145.84734";"около 2 тысяч";"72";"нейтральный";"986";"384";"";"3 года 11 месяцев";"около 180 тысяч";"181";"23 / 21";"11581";"19554";"0";"8340";"0";"13008";"8280";"0"
"1463947354.5433";"ни одного";"72";"нейтральный";"989";"384";"";"3 года 11 месяцев";"около 181 тысяч";"182";"23 / 21";"11569";"19554";"0";"8421";"0";"13094";"8340";"0"
"1463990547.20232";"около 2 сотен";"72";"нейтральный";"989";"384";"";"3 года 11 месяцев";"около 181 тысяч";"182";"23 / 21";"11568";"19554";"0";"8327";"0";"13139";"8268";"0"
"1464033754.19612";"около 2 сотен";"72";"нейтральный";"989";"384";"";"3 года 11 месяцев";"около 181 тысяч";"182";"23 / 21";"11575";"19554";"0";"8396";"0";"13243";"8334";"0"
"1464076947.92339";"около 2 сотен";"72";"нейтральный";"989";"384";"";"3 года 11 месяцев";"около 181 тысяч";"182";"23 / 21";"11579";"19554";"0";"8336";"0";"13134";"8288";"0"
"1464120147.18436";"около 12 тысяч";"72";"нейтральный";"991";"384";"";"3 года 11 месяцев";"около 181 тысяч";"182";"23 / 21";"11582";"19554";"0";"8417";"0";"13285";"8340";"0"
"1464163345.57093";"около 4 тысяч";"72";"нейтральный";"992";"384";"";"3 года 11 месяцев";"около 181 тысяч";"182";"23 / 21";"11542";"19554";"0";"8349";"0";"13063";"8234";"0"
"1464206551.98182";"около 4 тысяч";"72";"нейтральный";"992";"384";"";"3 года 11 месяцев";"около 181 тысяч";"182";"23 / 21";"11550";"19554";"0";"8447";"0";"13217";"8305";"0"
"1464249745.67645";"около 7 тысяч";"72";"нейтральный";"993";"384";"";"3 года 11 месяцев";"около 181 тысяч";"182";"23 / 21";"11537";"19554";"0";"8364";"0";"12993";"8215";"0"
"1464292958.44077";"около 3 тысяч";"72";"нейтральный";"994";"384";"";"3 года 11 месяцев";"около 181 тысяч";"182";"23 / 21";"11508";"19554";"0";"8460";"0";"13134";"8288";"0"
