"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463857135.07512";"около 4 тысяч";"69";"нейтральный";"911";"372";"";"0";"0";"0"
"1463860993.24656";"около 4 тысяч";"69";"нейтральный";"911";"372";"";"0";"0";"0"
"1463904177.08564";"около 5 тысяч";"69";"нейтральный";"913";"372";"";"0";"0";"0"
"1463947385.92077";"около 3 тысяч";"69";"нейтральный";"914";"372";"";"0";"0";"0"
"1463990578.48769";"около 3 тысяч";"69";"нейтральный";"914";"372";"";"0";"0";"0"
"1464033785.52048";"около 11 тысяч";"69";"нейтральный";"915";"372";"";"0";"0";"0"
"1464076979.16544";"около 11 тысяч";"69";"нейтральный";"915";"372";"";"0";"0";"0"
"1464120178.47355";"около 11 тысяч";"69";"нейтральный";"915";"372";"";"0";"0";"0"
"1464163376.78869";"ни одного";"69";"нейтральный";"917";"372";"";"0";"0";"0"
"1464206583.40651";"ни одного";"69";"нейтральный";"917";"372";"";"0";"0";"0"
"1464249776.99785";"ни одного";"69";"нейтральный";"917";"372";"";"0";"0";"0"
"1464292989.68012";"около 5 тысяч";"69";"нейтральный";"918";"372";"";"0";"0";"0"
