"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463857181.86059";"около 6 тысяч";"83";"агрессивный";"831";"428";"";"5 лет 7 месяцев";"около 281 тысяч";"200";"71 / 93";"5184";"6221";"19661";"4186";"0";"5468";"4501";"3454"
"1463861040.14276";"около 6 тысяч";"83";"агрессивный";"831";"428";"";"5 лет 7 месяцев";"около 281 тысяч";"200";"71 / 93";"5184";"6221";"19662";"4188";"0";"5469";"4503";"3477"
"1463904223.85315";"около 6 тысяч";"83";"агрессивный";"831";"428";"";"5 лет 7 месяцев";"около 281 тысяч";"200";"71 / 93";"5184";"6221";"19666";"4160";"0";"5427";"4487";"3622"
"1463947432.75549";"около 6 тысяч";"83";"агрессивный";"831";"428";"";"5 лет 7 месяцев";"около 281 тысяч";"200";"71 / 93";"5185";"6221";"19670";"4178";"0";"5468";"4505";"3788"
"1463990625.2316";"около 6 тысяч";"83";"озлобленный";"831";"428";"";"5 лет 7 месяцев";"около 281 тысяч";"200";"71 / 93";"5186";"6221";"19669";"4153";"0";"5410";"4486";"3935"
"1464033832.42288";"около 6 тысяч";"83";"озлобленный";"831";"428";"";"5 лет 7 месяцев";"около 281 тысяч";"200";"71 / 93";"5187";"6221";"19675";"4179";"0";"5462";"4508";"4106"
"1464077025.94997";"около 6 тысяч";"83";"озлобленный";"831";"428";"";"5 лет 7 месяцев";"около 281 тысяч";"200";"71 / 93";"5189";"6221";"19682";"0";"0"
"1464120225.32808";"около 6 тысяч";"83";"озлобленный";"831";"428";"";"5 лет 7 месяцев";"около 281 тысяч";"200";"71 / 93";"5191";"6221";"19689";"0";"0"
"1464163423.49737";"около 6 тысяч";"83";"озлобленный";"831";"428";"";"5 лет 7 месяцев";"около 281 тысяч";"200";"71 / 93";"5193";"6221";"19691";"0";"0"
"1464206630.20659";"около 6 тысяч";"83";"озлобленный";"831";"428";"";"5 лет 7 месяцев";"около 281 тысяч";"200";"71 / 93";"5197";"6221";"19698";"0";"0"
"1464249823.75069";"около 5 тысяч";"83";"озлобленный";"835";"428";"";"5 лет 7 месяцев";"около 282 тысяч";"201";"71 / 93";"5174";"6221";"19703";"4155";"0";"5431";"4469";"4330"
"1464293036.7084";"около 6 тысяч";"83";"агрессивный";"841";"428";"";"5 лет 7 месяцев";"около 282 тысяч";"201";"71 / 93";"5162";"6221";"19707";"4171";"0";"5485";"4501";"4037"
