"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463857187.00527";"около тысячи";"65";"добродушный";"913";"356";"32";"1 год 7 месяцев";"около 95 тысяч";"94";"15 / 23";"18634";"28052";"0";"9249";"2421";"12750";"7137";"10366"
"1463861045.25159";"около 10 тысяч";"65";"добродушный";"914";"356";"32";"1 год 7 месяцев";"около 95 тысяч";"94";"15 / 23";"18633";"28052";"0";"9262";"2422";"12778";"7144";"10518"
"1463904228.96675";"около 3 тысяч";"65";"добродушный";"916";"356";"32";"1 год 7 месяцев";"около 95 тысяч";"95";"15 / 23";"18623";"28052";"0";"9171";"2405";"12982";"7100";"11930"
"1463947437.87153";"около 17 тысяч";"65";"добродушный";"918";"356";"32";"1 год 7 месяцев";"около 95 тысяч";"95";"15 / 23";"18611";"28052";"0";"9293";"2415";"13055";"7129";"10179"
"1463990630.34944";"около 9 тысяч";"65";"добродушный";"919";"356";"32";"1 год 7 месяцев";"около 95 тысяч";"95";"15 / 23";"18603";"28052";"0";"9183";"2406";"12870";"7067";"10655"
"1464033837.56675";"около 9 тысяч";"65";"добродушный";"920";"356";"32";"1 год 7 месяцев";"около 95 тысяч";"95";"15 / 23";"18537";"28052";"0";"9260";"2415";"12944";"7103";"10677"
"1464077031.06179";"около 22 тысяч";"65";"добродушный";"922";"356";"32";"1 год 7 месяцев";"около 95 тысяч";"95";"15 / 23";"18529";"28052";"0";"9173";"2406";"12839";"7074";"11126"
"1464120230.44628";"около 5 тысяч";"65";"добродушный";"922";"356";"32";"1 год 7 месяцев";"около 95 тысяч";"95";"15 / 23";"18527";"28052";"0";"9256";"2419";"12945";"7093";"10951"
"1464163428.6136";"около 4 тысяч";"65";"добродушный";"923";"356";"32";"1 год 7 месяцев";"около 95 тысяч";"95";"15 / 23";"18531";"28052";"0";"9153";"2399";"12789";"7031";"10074"
"1464206635.34451";"около 15 тысяч";"65";"добродушный";"924";"356";"32";"1 год 7 месяцев";"около 95 тысяч";"95";"15 / 23";"18473";"28052";"0";"9250";"2415";"12881";"7079";"10083"
"1464249828.86939";"около 3 тысяч";"65";"добродушный";"925";"356";"32";"1 год 7 месяцев";"около 95 тысяч";"95";"15 / 23";"18466";"28052";"0";"9124";"2392";"12646";"7016";"10493"
"1464293041.84439";"около 5 тысяч";"65";"добродушный";"926";"356";"32";"1 год 7 месяцев";"около 96 тысяч";"95";"15 / 23";"18450";"28052";"0";"9214";"2405";"12738";"7067";"10728"
