"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463857239.05817";"около 22 тысяч";"72";"нейтральный";"803";"384";"17";"0";"0";"0"
"1463861097.15044";"около 22 тысяч";"72";"нейтральный";"803";"384";"17";"0";"0";"0"
"1463904280.78853";"около 22 тысяч";"72";"нейтральный";"803";"384";"17";"0";"0";"0"
"1463947489.79543";"около 22 тысяч";"72";"нейтральный";"803";"384";"17";"0";"0";"0"
"1463990682.16771";"около 22 тысяч";"72";"нейтральный";"803";"384";"17";"0";"0";"0"
"1464033890.6403";"около 6 тысяч";"72";"недовольный";"806";"384";"17";"0";"0";"0"
"1464077082.89358";"около 7 тысяч";"72";"недовольный";"806";"384";"17";"0";"0";"0"
"1464120282.54347";"около 7 тысяч";"72";"недовольный";"806";"384";"17";"0";"0";"0"
"1464163480.42632";"около 7 тысяч";"72";"недовольный";"806";"384";"17";"0";"0";"0"
"1464206687.35082";"около 7 тысяч";"72";"недовольный";"806";"384";"17";"0";"0";"0"
"1464249880.67657";"около 7 тысяч";"72";"недовольный";"806";"384";"17";"0";"0";"0"
"1464293093.9901";"около 7 тысяч";"72";"недовольный";"806";"384";"17";"0";"0";"0"
