"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463857296.1133";"около 6 тысяч";"79";"беззлобный";"993";"412";"26";"6 лет 4 месяца";"около 222 тысяч";"156";"55 / 46";"6871";"9137";"20962";"5108";"4596";"5278";"5192";"14568"
"1463861154.09143";"около 6 тысяч";"79";"беззлобный";"993";"412";"26";"6 лет 4 месяца";"около 222 тысяч";"156";"55 / 46";"6871";"9137";"20964";"5119";"4598";"5284";"5195";"14682"
"1463904337.55283";"около 18 тысяч";"79";"добродушный";"994";"412";"26";"6 лет 4 месяца";"около 223 тысяч";"156";"55 / 46";"6865";"9137";"20960";"5044";"4579";"5238";"5170";"10868"
"1463947546.77101";"около 8 тысяч";"79";"добродушный";"995";"412";"26";"6 лет 4 месяца";"около 223 тысяч";"156";"55 / 46";"6862";"9137";"20968";"5079";"4597";"5269";"5183";"10985"
"1463990738.95744";"около 40 тысяч";"79";"добродушный";"996";"412";"26";"6 лет 4 месяца";"около 223 тысяч";"156";"55 / 46";"6871";"9137";"20967";"5033";"4585";"5211";"5157";"12854"
"1464033947.54742";"ни одного";"79";"добродушный";"998";"412";"27";"6 лет 4 месяца";"около 223 тысяч";"156";"55 / 46";"6825";"9137";"20969";"5056";"4336";"5257";"5181";"12932"
"1464077139.70637";"около 15 тысяч";"79";"добродушный";"999";"412";"27";"6 лет 4 месяца";"около 223 тысяч";"156";"55 / 46";"6826";"9137";"20970";"5025";"4317";"5213";"5122";"11341"
"1464120339.47759";"около 6 тысяч";"79";"добродушный";"1000";"412";"27";"6 лет 4 месяца";"около 223 тысяч";"156";"55 / 46";"6821";"9137";"20978";"5048";"4337";"5257";"5133";"10969"
"1464163537.17905";"около 6 сотен";"79";"добродушный";"1001";"412";"6 лет 4 месяца";"около 223 тысяч";"156";"55 / 46";"6805";"9137";"20983";"5726";"4298";"5190";"5092";"10815"
"1464206744.15708";"около 3 тысяч";"79";"добродушный";"1002";"412";"6 лет 4 месяца";"около 223 тысяч";"156";"55 / 46";"6805";"9137";"20983";"5100";"4331";"5237";"5136";"13347"
"1464249937.51532";"около 10 тысяч";"79";"добродушный";"1002";"412";"6 лет 5 месяцев";"около 223 тысяч";"156";"55 / 46";"6791";"9137";"20989";"5054";"4291";"5166";"5111";"12988"
"1464293150.98374";"около 10 тысяч";"79";"добродушный";"1002";"412";"6 лет 5 месяцев";"около 223 тысяч";"156";"55 / 46";"6794";"9137";"20996";"5111";"4309";"5223";"5159";"13475"
