"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463857316.63013";"около тысячи";"75";"нейтральный";"988";"396";"";"5 лет 12 месяцев";"около 207 тысяч";"222";"56 / 43";"9247";"18057";"19384";"6159";"0";"15703";"7482";"0"
"1463861174.5435";"около тысячи";"75";"нейтральный";"988";"396";"";"5 лет 12 месяцев";"около 207 тысяч";"222";"56 / 43";"9247";"18057";"19385";"6169";"0";"15734";"7492";"0"
"1463904358.01188";"около тысячи";"75";"нейтральный";"988";"396";"";"5 лет 12 месяцев";"около 207 тысяч";"222";"56 / 43";"9250";"18057";"19392";"6115";"0";"15561";"7441";"0"
"1463947567.21924";"около тысячи";"75";"нейтральный";"988";"396";"";"5 лет 12 месяцев";"около 207 тысяч";"222";"56 / 43";"9254";"18057";"19395";"6166";"0";"15743";"7494";"0"
"1463990759.42603";"около тысячи";"75";"нейтральный";"988";"396";"";"5 лет 12 месяцев";"около 207 тысяч";"222";"56 / 43";"9257";"18057";"19399";"6117";"0";"15545";"7443";"0"
"1464033968.05687";"около тысячи";"75";"нейтральный";"988";"396";"";"5 лет 12 месяцев";"около 207 тысяч";"222";"56 / 43";"9261";"18057";"19404";"6162";"0";"15699";"7502";"0"
"1464077160.19319";"около тысячи";"75";"нейтральный";"988";"396";"";"5 лет 12 месяцев";"около 207 тысяч";"222";"56 / 43";"9267";"18057";"19411";"6128";"0";"15572";"7458";"0"
"1464120359.97621";"около тысячи";"75";"нейтральный";"988";"396";"";"5 лет 12 месяцев";"около 207 тысяч";"222";"56 / 43";"9273";"18057";"19420";"6179";"0";"15787";"7509";"0"
"1464163557.63621";"около тысячи";"75";"нейтральный";"988";"396";"";"5 лет 12 месяцев";"около 207 тысяч";"222";"56 / 43";"9275";"18057";"19421";"0";"0"
"1464206764.6954";"около тысячи";"75";"нейтральный";"988";"396";"";"5 лет 12 месяцев";"около 207 тысяч";"222";"56 / 43";"9282";"18057";"19430";"0";"0"
"1464249958.00517";"около тысячи";"75";"нейтральный";"988";"396";"";"5 лет 12 месяцев";"около 207 тысяч";"222";"56 / 43";"9284";"18057";"19433";"0";"0"
"1464293171.53024";"около тысячи";"75";"нейтральный";"988";"396";"";"5 лет 12 месяцев";"около 207 тысяч";"222";"56 / 43";"9286";"18057";"19432";"0";"0"
