"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853404.55526";"около 14 тысяч";"74";"миролюбивый";"1010";"392";"2";"2 года 5 месяцев";"около 148 тысяч";"125";"84 / 67";"9691";"25173";"11186";"7309";"1011";"8224";"5931";"6113"
"1463857260.10396";"около 14 тысяч";"74";"миролюбивый";"1010";"392";"2";"2 года 5 месяцев";"около 148 тысяч";"125";"84 / 67";"9691";"25173";"11187";"7311";"1011";"8231";"5931";"6196"
"1463900459.71165";"около 14 тысяч";"74";"миролюбивый";"1010";"392";"2";"2 года 5 месяцев";"около 148 тысяч";"125";"84 / 67";"9693";"25173";"11189";"7247";"1009";"8165";"5904";"6686"
"1463943662.34322";"около 5 тысяч";"74";"миролюбивый";"1012";"392";"3";"2 года 5 месяцев";"около 149 тысяч";"125";"84 / 67";"9685";"25173";"11194";"7314";"1014";"8214";"5913";"7355"
"1463986859.69649";"около 18 тысяч";"75";"миролюбивый";"1013";"396";"3";"2 года 5 месяцев";"около 149 тысяч";"125";"84 / 67";"9676";"25173";"11197";"7241";"1012";"8101";"5873";"7260"
"1464030059.66151";"около 12 тысяч";"75";"миролюбивый";"1014";"396";"3";"2 года 5 месяцев";"около 149 тысяч";"125";"84 / 67";"9639";"25173";"11199";"7293";"1015";"8173";"5911";"7904"
"1464073259.70684";"около 6 тысяч";"75";"миролюбивый";"1014";"396";"3";"2 года 5 месяцев";"около 149 тысяч";"125";"84 / 67";"9633";"25173";"11203";"7218";"1012";"8092";"5867";"7188"
"1464116459.18854";"около 11 тысяч";"75";"миролюбивый";"1014";"396";"4";"2 года 5 месяцев";"около 149 тысяч";"125";"84 / 67";"9633";"25173";"11211";"7281";"1014";"8171";"5902";"7282"
"1464159659.64532";"около 21 тысяч";"75";"миролюбивый";"1016";"396";"4";"2 года 5 месяцев";"около 149 тысяч";"125";"84 / 67";"9598";"25173";"11210";"7198";"1006";"8058";"5865";"7449"
"1464202858.78266";"около 10 тысяч";"75";"миролюбивый";"1017";"396";"4";"2 года 5 месяцев";"около 149 тысяч";"125";"84 / 67";"9599";"25173";"11218";"7220";"1008";"8130";"5883";"7476"
"1464246059.26444";"около 9 тысяч";"75";"миролюбивый";"1018";"396";"4";"2 года 5 месяцев";"около 149 тысяч";"125";"84 / 67";"9595";"25173";"11217";"7124";"986";"8017";"5828";"7909"
"1464289259.56809";"около 6 тысяч";"75";"миролюбивый";"1017";"396";"4";"2 года 5 месяцев";"около 149 тысяч";"125";"84 / 67";"9596";"25173";"11225";"7204";"988";"8110";"5880";"7933"
"1464332460.16171";"около сотни";"75";"миролюбивый";"1017";"396";"4";"2 года 6 месяцев";"около 149 тысяч";"125";"84 / 67";"9551";"25173";"11227";"7134";"975";"7982";"5837";"7011"
