"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853445.52681";"около 4 тысяч";"41";"миролюбивый";"4";"260";"13";"5 месяцев";"около 34 тысяч";"29";"167 / 172";"37234";"4685";"23128";"11350";"8021";"18429";"4852"
"1463857301.44023";"около 4 тысяч";"41";"миролюбивый";"4";"260";"13";"5 месяцев";"около 34 тысяч";"29";"167 / 172";"37234";"4684";"23149";"11357";"8029";"18445";"4923"
"1463900500.62151";"около 11 тысяч";"41";"миролюбивый";"6";"260";"13";"5 месяцев";"около 35 тысяч";"29";"167 / 172";"37235";"4685";"22786";"11267";"7938";"18214";"3556"
"1463943703.35312";"около 2 тысяч";"41";"миролюбивый";"11";"260";"13";"5 месяцев";"около 35 тысяч";"29";"167 / 172";"37235";"4688";"22995";"11357";"7952";"18319";"4261"
"1463986900.64711";"около 16 тысяч";"41";"миролюбивый";"13";"260";"13";"5 месяцев";"около 35 тысяч";"29";"167 / 172";"37235";"4688";"22709";"11293";"7814";"18113";"4811"
"1464030100.67664";"около 13 тысяч";"41";"миролюбивый";"13";"260";"13";"5 месяцев";"около 35 тысяч";"29";"167 / 172";"37235";"4693";"22915";"11378";"7816";"18259";"4820"
"1464073300.6906";"около тысячи";"41";"миролюбивый";"14";"260";"13";"5 месяцев";"около 35 тысяч";"30";"167 / 172";"37235";"4693";"22562";"11276";"8403";"18023";"5307"
"1464116500.17135";"около 10 тысяч";"41";"миролюбивый";"15";"260";"13";"5 месяцев";"около 35 тысяч";"30";"167 / 172";"37235";"4694";"22922";"11350";"8449";"18248";"5995"
"1464159700.59643";"около 3 тысяч";"41";"миролюбивый";"15";"260";"13";"5 месяцев";"около 35 тысяч";"30";"167 / 172";"37235";"4693";"22580";"11221";"8288";"17971";"6162"
"1464202899.75118";"около 5 тысяч";"41";"миролюбивый";"17";"260";"13";"5 месяцев";"около 35 тысяч";"30";"167 / 172";"37235";"4693";"22884";"11331";"8344";"18196";"4698"
"1464246100.26313";"около 8 тысяч";"41";"миролюбивый";"19";"260";"13";"5 месяцев";"около 35 тысяч";"30";"167 / 172";"37235";"4694";"22457";"11220";"8166";"17950";"4854"
"1464289300.53573";"около 2 тысяч";"41";"миролюбивый";"21";"260";"13";"5 месяцев";"около 35 тысяч";"30";"167 / 172";"37235";"4694";"22630";"11290";"8209";"18105";"4792"
"1464332501.24105";"около 7 тысяч";"41";"добродетельный";"22";"260";"13";"5 месяцев";"около 35 тысяч";"30";"167 / 172";"37235";"4696";"22253";"11196";"8062";"17876";"4060"
