"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853481.27872";"около 4 тысяч";"79";"нейтральный";"820";"412";"22";"4 года 7 месяцев";"около 239 тысяч";"121";"58 / 59";"6794";"9484";"21991";"6371";"5994";"1882";"4362";"0"
"1463857337.88323";"около 4 тысяч";"79";"нейтральный";"820";"412";"22";"4 года 7 месяцев";"около 239 тысяч";"121";"58 / 59";"6794";"9484";"21990";"6372";"5997";"1885";"4364";"0"
"1463900536.39541";"около 4 тысяч";"79";"нейтральный";"820";"412";"22";"4 года 7 месяцев";"около 239 тысяч";"121";"58 / 59";"6795";"9484";"21993";"6315";"5967";"1876";"4349";"0"
"1463943739.16538";"около 4 тысяч";"79";"нейтральный";"820";"412";"22";"4 года 7 месяцев";"около 239 тысяч";"121";"58 / 59";"6795";"9484";"22002";"6374";"5998";"1886";"4373";"0"
"1463986936.47093";"около 5 тысяч";"79";"нейтральный";"821";"412";"22";"4 года 7 месяцев";"около 239 тысяч";"121";"58 / 59";"6792";"9484";"22006";"6308";"5979";"1868";"4341";"0"
"1464030136.51921";"около 5 тысяч";"79";"нейтральный";"821";"412";"22";"4 года 7 месяцев";"около 239 тысяч";"121";"58 / 59";"6797";"9484";"22017";"6362";"6018";"1880";"4368";"0"
"1464073336.55459";"около 5 тысяч";"79";"нейтральный";"821";"412";"22";"4 года 7 месяцев";"около 239 тысяч";"121";"58 / 59";"6805";"9484";"22020";"6319";"5992";"1862";"4345";"0"
"1464116536.05916";"около 5 тысяч";"79";"нейтральный";"821";"412";"22";"4 года 7 месяцев";"около 239 тысяч";"121";"58 / 59";"6807";"9484";"22018";"6372";"6029";"1877";"4365";"0"
"1464159736.40256";"около 5 тысяч";"79";"нейтральный";"821";"412";"22";"4 года 7 месяцев";"около 239 тысяч";"121";"58 / 59";"6810";"9484";"22024";"6294";"5977";"1868";"4349";"0"
"1464202935.59167";"около 5 тысяч";"79";"нейтральный";"822";"412";"23";"4 года 7 месяцев";"около 239 тысяч";"121";"58 / 59";"6799";"9484";"22031";"6307";"5595";"1864";"4362";"0"
"1464246136.09608";"около 5 тысяч";"79";"нейтральный";"822";"412";"23";"4 года 7 месяцев";"около 239 тысяч";"121";"58 / 59";"6802";"9484";"22033";"6248";"5544";"1848";"4342";"0"
"1464289336.3242";"около 5 тысяч";"79";"нейтральный";"822";"412";"23";"4 года 7 месяцев";"около 239 тысяч";"121";"58 / 59";"6804";"9484";"22038";"6321";"5579";"1860";"4380";"0"
"1464332537.06754";"около 2 тысяч";"79";"нейтральный";"830";"412";"23";"4 года 7 месяцев";"около 240 тысяч";"122";"58 / 59";"6781";"9484";"22044";"6234";"5550";"1900";"4354";"0"
