"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853496.6388";"около 2 тысяч";"62";"миролюбивый";"817";"344";"15";"1 год 4 месяца";"около 76 тысяч";"70";"21 / 6";"23045";"29358";"0";"8577";"10150";"10233";"1617";"8200"
"1463857353.4044";"около 7 тысяч";"62";"миролюбивый";"817";"344";"15";"1 год 4 месяца";"около 76 тысяч";"70";"21 / 6";"23044";"29358";"0";"8598";"10154";"10243";"1617";"8279"
"1463900551.72004";"около 8 тысяч";"62";"миролюбивый";"819";"344";"16";"1 год 4 месяца";"около 76 тысяч";"70";"21 / 6";"23021";"29358";"0";"8528";"9546";"10144";"1589";"8727"
"1463943754.50153";"около 37 тысяч";"62";"добродушный";"820";"344";"16";"1 год 4 месяца";"около 76 тысяч";"70";"21 / 6";"23003";"29358";"0";"8590";"9600";"10230";"1590";"7152"
"1463986951.81074";"около 33 тысяч";"62";"добродушный";"822";"344";"16";"1 год 4 месяца";"около 76 тысяч";"70";"21 / 6";"22970";"29358";"0";"8465";"9550";"10064";"1556";"9564"
"1464030151.87059";"около 6 тысяч";"62";"миролюбивый";"823";"344";"16";"1 год 4 месяца";"около 77 тысяч";"70";"21 / 6";"22934";"29358";"0";"8517";"9612";"10103";"1539";"9950"
"1464073351.8924";"около 5 тысяч";"62";"добродушный";"824";"344";"16";"1 год 4 месяца";"около 77 тысяч";"70";"21 / 6";"22916";"29358";"0";"8455";"9541";"10003";"1523";"10863"
"1464116551.42658";"около 16 тысяч";"62";"миролюбивый";"827";"344";"16";"1 год 4 месяца";"около 77 тысяч";"70";"21 / 6";"22890";"29358";"0";"8484";"9596";"10114";"1517";"9364"
"1464159751.73091";"около сотни";"62";"добродушный";"827";"344";"16";"1 год 4 месяца";"около 77 тысяч";"71";"21 / 6";"22845";"29358";"0";"8387";"9494";"9943";"1514";"9791"
"1464202950.95584";"около 11 тысяч";"62";"добродушный";"830";"344";"16";"1 год 4 месяца";"около 77 тысяч";"71";"21 / 6";"22816";"29358";"0";"8443";"9562";"10404";"1521";"11894"
"1464246151.44935";"около 20 тысяч";"62";"миролюбивый";"830";"344";"16";"1 год 4 месяца";"около 77 тысяч";"71";"21 / 6";"22801";"29358";"0";"8345";"9464";"10221";"1513";"9694"
"1464289351.6744";"около 7 тысяч";"62";"миролюбивый";"831";"344";"16";"1 год 4 месяца";"около 77 тысяч";"71";"21 / 6";"22777";"29358";"0";"8369";"9530";"10338";"1514";"8591"
"1464332552.39229";"около 5 тысяч";"62";"добродушный";"832";"344";"16";"1 год 5 месяцев";"около 77 тысяч";"71";"21 / 6";"22703";"29358";"0";"8249";"9445";"10195";"1496";"11241"
