"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853512.05669";"около 5 тысяч";"78";"добродушный";"995";"408";"13";"6 лет 3 месяца";"около 189 тысяч";"145";"58 / 50";"7569";"23994";"20024";"5833";"11918";"6512";"6197";"9480"
"1463857369.29786";"около 5 тысяч";"78";"добродушный";"995";"408";"13";"6 лет 3 месяца";"около 189 тысяч";"145";"58 / 50";"7569";"23994";"20024";"5835";"11924";"6515";"6198";"9573"
"1463900567.06226";"около 5 тысяч";"78";"добродушный";"995";"408";"13";"6 лет 3 месяца";"около 189 тысяч";"145";"58 / 50";"7574";"23994";"20024";"5792";"11815";"6470";"6163";"10047"
"1463943769.8782";"около 5 тысяч";"78";"добродушный";"995";"408";"13";"6 лет 3 месяца";"около 189 тысяч";"145";"58 / 50";"7579";"23994";"20029";"5834";"11895";"6520";"6199";"10655"
"1463986967.1917";"ни одного";"78";"добродушный";"1001";"408";"13";"6 лет 3 месяца";"около 189 тысяч";"147";"58 / 50";"7556";"23994";"20031";"5785";"11836";"6536";"6155";"11078"
"1464030167.2296";"около тысячи";"78";"добродушный";"1003";"408";"13";"6 лет 3 месяца";"около 190 тысяч";"147";"58 / 50";"7482";"23994";"20035";"5835";"11931";"6697";"6176";"11166"
"1464073367.2502";"около 7 тысяч";"78";"добродушный";"1004";"408";"13";"6 лет 3 месяца";"около 190 тысяч";"147";"58 / 50";"7479";"23994";"20040";"5800";"11810";"6632";"6143";"11573"
"1464116566.78847";"около 20 тысяч";"78";"добродушный";"1004";"408";"13";"6 лет 3 месяца";"около 190 тысяч";"147";"58 / 50";"7473";"23994";"20044";"5818";"11875";"6690";"6174";"9833"
"1464159767.07978";"около 3 тысяч";"78";"добродушный";"1005";"408";"13";"6 лет 3 месяца";"около 190 тысяч";"147";"58 / 50";"7430";"23994";"20050";"5746";"11729";"6602";"6131";"10267"
"1464202966.34978";"около 10 тысяч";"78";"добродушный";"1008";"408";"13";"6 лет 3 месяца";"около 190 тысяч";"147";"58 / 50";"7438";"23994";"20056";"5771";"11825";"6660";"6172";"10833"
"1464246166.82759";"около 16 сотен";"78";"добродушный";"1008";"408";"13";"6 лет 3 месяца";"около 190 тысяч";"147";"58 / 50";"7425";"23994";"20059";"5720";"11714";"6570";"6138";"11179"
"1464289367.09246";"около 8 тысяч";"78";"миролюбивый";"1009";"408";"13";"6 лет 3 месяца";"около 190 тысяч";"147";"58 / 50";"7412";"23994";"20063";"5782";"11775";"6654";"6172";"9611"
"1464332567.72199";"около 5 тысяч";"78";"миролюбивый";"1010";"408";"14";"6 лет 3 месяца";"около 190 тысяч";"147";"58 / 50";"7411";"23994";"20066";"5743";"11015";"6553";"6126";"10137"
