"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853537.58582";"около 18 сотен";"51";"миролюбивый";"13";"300";"";"1 год 7 месяцев";"около 67 тысяч";"106";"27 / 5";"37019";"17876";"19109";"0";"32691";"18513";"8894"
"1463857394.93229";"около 16 сотен";"51";"миролюбивый";"13";"300";"";"1 год 7 месяцев";"около 67 тысяч";"106";"27 / 5";"37019";"17877";"19127";"0";"32729";"18531";"8972"
"1463900592.62159";"около 2 тысяч";"51";"добродушный";"13";"300";"";"1 год 7 месяцев";"около 67 тысяч";"106";"27 / 5";"37019";"17879";"18898";"0";"32221";"18330";"9474"
"1463943795.52791";"около 2 тысяч";"51";"добродушный";"13";"300";"";"1 год 7 месяцев";"около 67 тысяч";"106";"27 / 5";"37019";"17886";"19122";"0";"32651";"18535";"10131"
"1463986992.80971";"около 2 тысяч";"51";"добродушный";"13";"300";"";"1 год 7 месяцев";"около 67 тысяч";"106";"27 / 5";"37019";"17890";"18911";"0";"32195";"18336";"10566"
"1464030192.82752";"около 2 тысяч";"51";"добродушный";"13";"300";"";"1 год 7 месяцев";"около 67 тысяч";"106";"27 / 5";"37019";"17895";"19154";"0";"32654";"18558";"11153"
"1464073392.87713";"около 15 сотен";"51";"добродушный";"14";"300";"";"1 год 7 месяцев";"около 67 тысяч";"107";"27 / 5";"37019";"17895";"18786";"0";"32404";"18338";"10282"
"1464116592.44202";"около 15 сотен";"51";"добродушный";"14";"300";"";"1 год 7 месяцев";"около 67 тысяч";"107";"27 / 5";"37019";"17899";"19071";"0";"32904";"18587";"10890"
"1464159792.67485";"около 15 сотен";"51";"добродушный";"14";"300";"";"1 год 7 месяцев";"около 67 тысяч";"107";"27 / 5";"37019";"17898";"18807";"0";"32396";"18349";"11265"
"1464202991.96955";"около 15 сотен";"51";"добродушный";"14";"300";"";"1 год 7 месяцев";"около 67 тысяч";"107";"27 / 5";"37019";"17906";"19043";"0";"32886";"18581";"11834"
"1464246192.37087";"около 15 сотен";"51";"добродушный";"14";"300";"";"1 год 7 месяцев";"около 67 тысяч";"107";"27 / 5";"37019";"17911";"18777";"0";"32354";"18323";"12187"
"1464289392.69174";"около 3 тысяч";"52";"добродушный";"17";"304";"";"1 год 7 месяцев";"около 67 тысяч";"107";"27 / 5";"37019";"17917";"18852";"0";"32619";"18531";"10939"
"1464332593.29571";"около 3 тысяч";"52";"добродушный";"17";"304";"";"1 год 7 месяцев";"около 67 тысяч";"107";"27 / 5";"37019";"17922";"18617";"0";"32189";"18320";"11408"
