"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853547.8219";"около 7 тысяч";"41";"озлобленный";"8";"260";"18";"1 год 4 месяца";"около 35 тысяч";"49";"107 / 250";"37112";"14890";"23601";"8230";"27338";"18456";"4229"
"1463857405.17565";"около 7 тысяч";"41";"озлобленный";"8";"260";"18";"1 год 4 месяца";"около 35 тысяч";"49";"107 / 250";"37112";"14890";"23623";"8233";"27364";"18471";"4252"
"1463900603.01779";"около 7 тысяч";"41";"озлобленный";"8";"260";"18";"1 год 4 месяца";"около 35 тысяч";"49";"107 / 250";"37112";"14889";"23340";"8180";"27034";"18285";"4374"
"1463943805.77519";"около 7 тысяч";"41";"озлобленный";"8";"260";"18";"1 год 4 месяца";"около 35 тысяч";"49";"107 / 250";"37112";"14893";"23616";"8223";"27347";"18480";"4524"
"1463987003.05255";"около 7 тысяч";"41";"озлобленный";"8";"260";"18";"1 год 4 месяца";"около 35 тысяч";"49";"107 / 250";"37112";"14893";"23333";"8187";"27019";"18283";"4620"
"1464030203.10693";"около 7 тысяч";"41";"озлобленный";"8";"260";"18";"1 год 4 месяца";"около 35 тысяч";"49";"107 / 250";"37112";"14901";"23637";"8228";"27363";"18500";"4754"
"1464073403.10898";"около 7 тысяч";"41";"озлобленный";"8";"260";"18";"1 год 4 месяца";"около 35 тысяч";"49";"107 / 250";"37112";"14905";"23294";"8177";"27045";"18297";"4832"
"1464116602.69097";"около 7 тысяч";"41";"озлобленный";"8";"260";"18";"1 год 4 месяца";"около 35 тысяч";"49";"107 / 250";"37112";"14907";"23677";"8220";"27411";"18548";"4964"
"1464159802.91678";"около 7 тысяч";"41";"недовольный";"8";"260";"18";"1 год 5 месяцев";"около 35 тысяч";"49";"107 / 250";"37112";"14914";"23306";"8146";"27033";"18314";"5031"
"1464203002.21615";"около 7 тысяч";"41";"недовольный";"8";"260";"18";"1 год 5 месяцев";"около 35 тысяч";"49";"107 / 250";"37112";"14918";"23673";"8212";"27361";"18542";"5182"
"1464246202.63144";"около 7 тысяч";"41";"недовольный";"8";"260";"18";"1 год 5 месяцев";"около 35 тысяч";"49";"107 / 250";"37112";"14922";"0";"0"
"1464289402.92701";"около 7 тысяч";"41";"недовольный";"8";"260";"18";"1 год 5 месяцев";"около 35 тысяч";"49";"107 / 250";"37112";"14923";"0";"0"
"1464332603.55609";"около 7 тысяч";"41";"недовольный";"8";"260";"18";"1 год 5 месяцев";"около 35 тысяч";"49";"107 / 250";"37112";"14936";"0";"0"
