"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853645.04627";"около 8 тысяч";"71";"нейтральный";"809";"380";"10";"5 лет 4 месяца";"около 174 тысяч";"144";"37 / 31";"12730";"20941";"0";"7833";"15097";"7874";"8962";"0"
"1463857502.4614";"около 8 тысяч";"71";"нейтральный";"809";"380";"10";"5 лет 4 месяца";"около 174 тысяч";"144";"37 / 31";"12730";"20941";"0";"7844";"15121";"7885";"8976";"0"
"1463900700.12653";"около 8 тысяч";"71";"нейтральный";"809";"380";"10";"5 лет 4 месяца";"около 174 тысяч";"144";"37 / 31";"12734";"20941";"0";"7774";"14944";"7825";"8916";"0"
"1463943903.10502";"около 8 тысяч";"71";"нейтральный";"809";"380";"10";"5 лет 4 месяца";"около 174 тысяч";"144";"37 / 31";"12737";"20941";"0";"7839";"15059";"7914";"8980";"0"
"1463987100.41655";"около 2 тысяч";"71";"нейтральный";"809";"380";"10";"5 лет 5 месяцев";"около 174 тысяч";"145";"37 / 31";"12732";"20941";"0";"7721";"14924";"7942";"8891";"0"
"1464030300.41178";"около 3 тысяч";"71";"нейтральный";"809";"380";"10";"5 лет 5 месяцев";"около 174 тысяч";"145";"37 / 31";"12743";"20941";"0";"7800";"15052";"8012";"8963";"0"
"1464073500.70925";"около 3 тысяч";"71";"нейтральный";"809";"380";"10";"5 лет 5 месяцев";"около 174 тысяч";"145";"37 / 31";"12743";"20941";"0";"7751";"14918";"7946";"8917";"0"
"1464116700.5146";"около 8 тысяч";"71";"нейтральный";"816";"380";"10";"5 лет 5 месяцев";"около 174 тысяч";"144";"37 / 31";"12724";"20941";"0";"7814";"15022";"7871";"8975";"0"
"1464159900.13561";"около 5 тысяч";"71";"нейтральный";"816";"380";"10";"5 лет 5 месяцев";"около 174 тысяч";"144";"37 / 31";"12724";"20941";"0";"7704";"14810";"7754";"8873";"0"
"1464203099.445";"около 5 тысяч";"71";"нейтральный";"816";"380";"10";"5 лет 5 месяцев";"около 174 тысяч";"144";"37 / 31";"12733";"20941";"0";"7783";"14965";"7845";"8948";"0"
"1464246300.00506";"около 5 тысяч";"71";"беззлобный";"818";"380";"10";"5 лет 5 месяцев";"около 175 тысяч";"144";"37 / 31";"12724";"20941";"0";"7665";"14776";"7719";"8843";"19136"
"1464289500.1011";"около 7 тысяч";"71";"нейтральный";"819";"380";"11";"5 лет 5 месяцев";"около 175 тысяч";"144";"37 / 31";"12718";"20941";"0";"7729";"13937";"7795";"8926";"0"
"1464332700.7817";"около 7 тысяч";"71";"нейтральный";"819";"380";"11";"5 лет 5 месяцев";"около 175 тысяч";"144";"37 / 31";"12722";"20941";"0";"7661";"13783";"7697";"8865";"0"
