"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853583.56708";"около 14 тысяч";"70";"беззлобный";"810";"376";"8";"5 лет 11 месяцев";"около 144 тысяч";"126";"4 / 15";"13278";"23849";"0";"7703";"16945";"9130";"7588";"16349"
"1463857440.98613";"около 14 тысяч";"70";"беззлобный";"810";"376";"8";"5 лет 11 месяцев";"около 144 тысяч";"126";"4 / 15";"13279";"23849";"0";"7693";"16957";"9143";"7592";"16402"
"1463900638.77985";"около 14 тысяч";"70";"беззлобный";"811";"376";"9";"5 лет 11 месяцев";"около 144 тысяч";"126";"4 / 15";"13272";"23849";"0";"7612";"15931";"9046";"7548";"14788"
"1463943841.60839";"около 11 тысяч";"70";"добродушный";"812";"376";"9";"5 лет 11 месяцев";"около 144 тысяч";"126";"4 / 15";"13266";"23849";"0";"7671";"16054";"9118";"7573";"14331"
"1463987038.89908";"около 5 тысяч";"70";"добродушный";"813";"376";"9";"5 лет 11 месяцев";"около 144 тысяч";"126";"4 / 15";"13198";"23849";"0";"7597";"15900";"9014";"7474";"13835"
"1464030238.94787";"около 12 тысяч";"70";"добродушный";"813";"376";"9";"5 лет 11 месяцев";"около 144 тысяч";"126";"4 / 15";"13199";"23849";"0";"7663";"16030";"9074";"7528";"14315"
"1464073439.14521";"около 16 сотен";"70";"добродушный";"813";"376";"9";"5 лет 11 месяцев";"около 144 тысяч";"126";"4 / 15";"13191";"23849";"0";"7602";"15846";"9006";"7462";"12108"
"1464116638.57684";"около 10 тысяч";"70";"добродушный";"814";"376";"9";"5 лет 11 месяцев";"около 144 тысяч";"126";"4 / 15";"13189";"23849";"0";"7660";"15939";"9111";"7505";"12605"
"1464159838.7498";"около 2 сотен";"70";"добродушный";"815";"376";"9";"5 лет 11 месяцев";"около 144 тысяч";"126";"4 / 15";"13180";"23849";"0";"7567";"15702";"8966";"7403";"11880"
"1464203038.02731";"около 16 сотен";"70";"добродушный";"815";"376";"9";"5 лет 11 месяцев";"около 144 тысяч";"127";"4 / 15";"13181";"23849";"0";"7623";"15839";"9240";"7457";"11881"
"1464246238.53822";"около 15 тысяч";"70";"добродушный";"816";"376";"9";"5 лет 11 месяцев";"около 145 тысяч";"127";"4 / 15";"13171";"23849";"0";"7551";"15644";"9089";"7386";"11508"
"1464289438.71556";"около 5 тысяч";"70";"миролюбивый";"818";"376";"9";"5 лет 11 месяцев";"около 145 тысяч";"127";"4 / 15";"13093";"23849";"0";"7623";"15713";"9182";"7440";"7706"
"1464332639.40026";"около 8 тысяч";"70";"миролюбивый";"819";"376";"9";"5 лет 11 месяцев";"около 145 тысяч";"127";"4 / 15";"13091";"23849";"0";"7533";"15533";"9100";"7394";"8313"
