"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853619.41848";"около 2 тысяч";"51";"нейтральный";"14";"300";"";"1 год";"около 65 тысяч";"67";"5 / 3";"36922";"0";"18336";"0";"13741";"18258";"0"
"1463857476.81431";"около 2 тысяч";"51";"нейтральный";"14";"300";"";"1 год";"около 65 тысяч";"67";"5 / 3";"36922";"0";"18369";"0";"13727";"18288";"0"
"1463900674.52807";"около 7 сотен";"51";"нейтральный";"14";"300";"";"1 год";"около 66 тысяч";"67";"5 / 3";"36922";"0";"17936";"0";"13554";"18065";"0"
"1463943877.45801";"около 3 тысяч";"51";"нейтральный";"15";"300";"";"1 год";"около 66 тысяч";"67";"5 / 3";"36922";"0";"18142";"0";"13607";"18277";"0"
"1463987074.72384";"около 3 тысяч";"51";"беззлобный";"15";"300";"";"1 год";"около 66 тысяч";"67";"5 / 3";"36922";"0";"17819";"0";"13390";"18068";"18220"
"1464030274.78961";"около 3 тысяч";"51";"беззлобный";"15";"300";"";"1 год";"около 66 тысяч";"67";"5 / 3";"36922";"0";"18045";"0";"13455";"18282";"18775"
"1464073474.92337";"около 3 тысяч";"51";"добродушный";"21";"300";"";"1 год";"около 66 тысяч";"67";"5 / 3";"36922";"0";"17838";"0";"13289";"18035";"13014"
"1464116674.88869";"около 2 тысяч";"51";"добродушный";"21";"300";"";"1 год";"около 66 тысяч";"67";"5 / 3";"36922";"0";"18098";"0";"13428";"18263";"11647"
"1464159874.54482";"около 2 тысяч";"51";"добродушный";"21";"300";"";"1 год";"около 66 тысяч";"67";"5 / 3";"36922";"0";"17833";"0";"13194";"18006";"10281"
"1464203073.83749";"около 3 тысяч";"51";"добродушный";"23";"300";"";"1 год";"около 66 тысяч";"67";"5 / 3";"36922";"0";"18025";"0";"13320";"18242";"10851"
"1464246274.3834";"около 6 тысяч";"51";"добродушный";"24";"300";"";"1 год";"около 66 тысяч";"67";"5 / 3";"36922";"0";"17833";"0";"13079";"17949";"11197"
"1464289474.49252";"около 3 сотен";"51";"добродушный";"24";"300";"";"1 год";"около 66 тысяч";"67";"5 / 3";"36922";"0";"17987";"0";"13152";"18158";"10977"
"1464332675.18445";"около 3 тысяч";"51";"миролюбивый";"26";"300";"";"1 год";"около 67 тысяч";"67";"5 / 3";"36922";"0";"19349";"0";"12933";"17946";"9910"
