"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853655.27508";"около 13 тысяч";"63";"добродушный";"808";"348";"39";"1 год 6 месяцев";"около 98 тысяч";"118";"180 / 41";"21689";"26925";"1132";"10905";"1370";"20773";"7509";"11631"
"1463857512.69765";"около 13 тысяч";"63";"добродушный";"808";"348";"39";"1 год 6 месяцев";"около 98 тысяч";"118";"180 / 41";"21685";"26925";"1132";"10923";"1370";"20798";"7519";"11800"
"1463900710.34561";"ни одного";"63";"добродушный";"809";"348";"39";"1 год 6 месяцев";"около 98 тысяч";"119";"180 / 41";"21674";"26925";"1132";"10813";"1363";"20917";"7439";"13407"
"1463943913.33053";"около 28 тысяч";"63";"добродушный";"811";"348";"39";"1 год 6 месяцев";"около 98 тысяч";"119";"180 / 41";"21661";"26925";"1132";"10964";"1370";"21088";"7454";"11003"
"1463987110.63142";"около 9 тысяч";"63";"миролюбивый";"810";"348";"39";"1 год 6 месяцев";"около 98 тысяч";"119";"180 / 41";"21607";"26925";"1132";"10826";"1366";"20863";"7371";"9887"
"1464030310.64056";"около 23 тысяч";"63";"миролюбивый";"813";"348";"39";"1 год 6 месяцев";"около 98 тысяч";"119";"180 / 41";"21588";"26925";"1133";"10937";"1372";"21024";"7411";"7462"
"1464073510.94798";"около тысячи";"63";"миролюбивый";"813";"348";"39";"1 год 6 месяцев";"около 98 тысяч";"119";"180 / 41";"21581";"26925";"1132";"10823";"1368";"20740";"7372";"7911"
"1464116710.7243";"около 12 тысяч";"63";"миролюбивый";"815";"348";"39";"1 год 6 месяцев";"около 98 тысяч";"119";"180 / 41";"21563";"26925";"1132";"10940";"1375";"20935";"7409";"7416"
"1464159910.3503";"около 12 тысяч";"63";"миролюбивый";"816";"348";"39";"1 год 6 месяцев";"около 98 тысяч";"119";"180 / 41";"21555";"26925";"1132";"10826";"1365";"20639";"7340";"7870"
"1464203109.68158";"около 22 тысяч";"63";"миролюбивый";"819";"348";"39";"1 год 6 месяцев";"около 99 тысяч";"119";"180 / 41";"21533";"26925";"1132";"10907";"1371";"20835";"7401";"6750"
"1464246310.22253";"около 6 тысяч";"63";"миролюбивый";"820";"348";"39";"1 год 6 месяцев";"около 99 тысяч";"119";"180 / 41";"21522";"26925";"1132";"10773";"1349";"20485";"7312";"7167"
"1464289510.31245";"около 26 тысяч";"63";"миролюбивый";"822";"348";"39";"1 год 6 месяцев";"около 99 тысяч";"119";"180 / 41";"21501";"26925";"1132";"10816";"1353";"20702";"7373";"7151"
"1464332711.00378";"около 19 тысяч";"63";"миролюбивый";"823";"348";"39";"1 год 6 месяцев";"около 99 тысяч";"119";"180 / 41";"21489";"26925";"1132";"10664";"1340";"20431";"7316";"6233"
