"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853660.38621";"около 11 тысяч";"68";"нейтральный";"910";"368";"2 года 5 месяцев";"около 145 тысяч";"120";"16 / 2";"14943";"22750";"0";"9897";"0";"7845";"7377";"0"
"1463857517.80313";"около 11 тысяч";"68";"нейтральный";"910";"368";"2 года 5 месяцев";"около 145 тысяч";"120";"16 / 2";"14945";"22750";"0";"9914";"0";"7859";"7385";"0"
"1463900715.44752";"около 2 тысяч";"68";"нейтральный";"912";"368";"2 года 5 месяцев";"около 145 тысяч";"121";"16 / 2";"14927";"22750";"0";"9798";"0";"7927";"7330";"0"
"1463943918.44663";"около 5 тысяч";"68";"нейтральный";"913";"368";"2 года 5 месяцев";"около 145 тысяч";"121";"16 / 2";"14923";"22750";"0";"9895";"0";"7996";"7369";"0"
"1463987115.74498";"около 2 тысяч";"68";"нейтральный";"913";"368";"2 года 5 месяцев";"около 145 тысяч";"121";"16 / 2";"14892";"22750";"0";"9768";"0";"7900";"7321";"0"
"1464030315.74745";"около тысячи";"68";"нейтральный";"913";"368";"2 года 5 месяцев";"около 145 тысяч";"121";"16 / 2";"14896";"22750";"0";"9864";"0";"7952";"7373";"0"
"1464073516.06459";"около тысячи";"68";"нейтральный";"913";"368";"2 года 5 месяцев";"около 145 тысяч";"121";"16 / 2";"14898";"22750";"0";"9787";"0";"7897";"7335";"0"
"1464116715.82761";"около тысячи";"68";"нейтральный";"913";"368";"2 года 5 месяцев";"около 145 тысяч";"121";"16 / 2";"14902";"22750";"0";"9891";"0";"7990";"7379";"0"
"1464159915.45196";"около тысячи";"68";"нейтральный";"913";"368";"2 года 5 месяцев";"около 145 тысяч";"121";"16 / 2";"14909";"22750";"0";"9776";"0";"7891";"7312";"0"
"1464203114.79218";"около 7 тысяч";"68";"нейтральный";"915";"368";"2 года 5 месяцев";"около 146 тысяч";"121";"16 / 2";"14880";"22750";"0";"9916";"0";"7953";"7351";"0"
"1464246315.33348";"около 5 тысяч";"68";"нейтральный";"916";"368";"2 года 5 месяцев";"около 146 тысяч";"121";"16 / 2";"14874";"22750";"0";"9745";"0";"7825";"7289";"0"
"1464289515.42321";"около 4 тысяч";"68";"нейтральный";"916";"368";"2 года 5 месяцев";"около 146 тысяч";"121";"16 / 2";"14867";"22750";"0";"9868";"0";"7909";"7351";"0"
"1464332716.10201";"около 7 тысяч";"68";"беззлобный";"916";"368";"2 года 5 месяцев";"около 146 тысяч";"121";"16 / 2";"14865";"22750";"0";"9813";"0";"7814";"7297";"16874"
