"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853665.50148";"около 9 тысяч";"86";"беззлобный";"1008";"440";"18";"5 лет 10 месяцев";"около 306 тысяч";"128";"71 / 127";"3911";"6273";"22653";"2365";"8023";"915";"3768";"15722"
"1463857522.91278";"около 9 тысяч";"86";"беззлобный";"1008";"440";"18";"5 лет 10 месяцев";"около 306 тысяч";"128";"71 / 127";"3911";"6273";"22655";"2367";"8029";"915";"3770";"15864"
"1463900720.55005";"около 9 тысяч";"86";"беззлобный";"1008";"440";"18";"5 лет 10 месяцев";"около 306 тысяч";"128";"71 / 127";"3911";"6273";"22657";"2363";"7979";"908";"3761";"16151"
"1463943923.55655";"около 9 тысяч";"86";"беззлобный";"1008";"440";"18";"5 лет 10 месяцев";"около 306 тысяч";"128";"71 / 127";"3911";"6273";"22663";"2379";"8030";"911";"3774";"16647"
"1463987120.8526";"около 9 тысяч";"86";"беззлобный";"1008";"440";"18";"5 лет 10 месяцев";"около 306 тысяч";"128";"71 / 127";"3913";"6273";"22669";"2364";"7998";"903";"3757";"16944"
"1464030320.85798";"около 9 тысяч";"86";"беззлобный";"1008";"440";"18";"5 лет 10 месяцев";"около 306 тысяч";"128";"71 / 127";"3915";"6273";"22668";"2377";"8038";"911";"3772";"17468"
"1464073521.16877";"около 9 тысяч";"86";"беззлобный";"1008";"440";"18";"5 лет 10 месяцев";"около 306 тысяч";"128";"71 / 127";"3915";"6273";"22672";"2365";"7997";"906";"3759";"17731"
"1464116720.93238";"около 9 тысяч";"86";"беззлобный";"1008";"440";"18";"5 лет 10 месяцев";"около 306 тысяч";"128";"71 / 127";"3919";"6273";"22679";"2370";"8043";"916";"3777";"18314"
"1464159920.58987";"около 9 тысяч";"86";"беззлобный";"1008";"440";"18";"5 лет 10 месяцев";"около 306 тысяч";"128";"71 / 127";"3921";"6273";"22685";"2364";"7975";"911";"3765";"18587"
"1464203119.89507";"около 9 тысяч";"86";"нейтральный";"1008";"440";"18";"5 лет 10 месяцев";"около 306 тысяч";"128";"71 / 127";"3925";"6273";"22689";"2377";"8042";"915";"3790";"0"
"1464246320.43145";"около 9 тысяч";"86";"нейтральный";"1008";"440";"18";"5 лет 10 месяцев";"около 306 тысяч";"128";"71 / 127";"3929";"6273";"22700";"0";"0"
"1464289520.52044";"около 9 тысяч";"86";"нейтральный";"1008";"440";"18";"5 лет 10 месяцев";"около 306 тысяч";"128";"71 / 127";"3929";"6273";"22707";"0";"0"
"1464332721.20449";"около 9 тысяч";"86";"нейтральный";"1008";"440";"18";"5 лет 10 месяцев";"около 306 тысяч";"128";"71 / 127";"3930";"6273";"22711";"0";"0"
