"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853685.95976";"около 3 тысяч";"52";"нейтральный";"2";"304";"15";"1 год 9 месяцев";"около 70 тысяч";"143";"1 / 3";"37240";"0";"17999";"9926";"39933";"18582";"0"
"1463857543.33654";"около 2 тысяч";"52";"нейтральный";"2";"304";"";"1 год 9 месяцев";"около 70 тысяч";"143";"1 / 3";"37240";"0";"18031";"0";"40036";"18602";"0"
"1463900740.98004";"около 6 тысяч";"52";"нейтральный";"4";"304";"";"1 год 9 месяцев";"около 70 тысяч";"143";"1 / 3";"37241";"0";"17811";"0";"39182";"18384";"0"
"1463943944.04868";"около 18 тысяч";"52";"нейтральный";"5";"304";"";"1 год 9 месяцев";"около 70 тысяч";"143";"1 / 3";"37241";"0";"18018";"0";"39907";"18598";"0"
"1463987141.33186";"около 5 тысяч";"52";"нейтральный";"6";"304";"";"1 год 9 месяцев";"около 70 тысяч";"143";"1 / 3";"37241";"0";"17794";"0";"39160";"18352";"0"
"1464030341.34857";"около тысячи";"52";"нейтральный";"6";"304";"";"1 год 9 месяцев";"около 70 тысяч";"143";"1 / 3";"37241";"0";"17999";"0";"39881";"18559";"0"
"1464073541.58546";"около 16 сотен";"52";"нейтральный";"6";"304";"";"1 год 9 месяцев";"около 70 тысяч";"143";"1 / 3";"37241";"0";"17788";"0";"39141";"18364";"0"
"1464116741.35989";"около 2 тысяч";"52";"нейтральный";"7";"304";"";"1 год 9 месяцев";"около 70 тысяч";"144";"1 / 3";"37241";"0";"18004";"0";"39955";"18610";"0"
"1464159941.14153";"около 18 сотен";"52";"нейтральный";"7";"304";"";"1 год 9 месяцев";"около 70 тысяч";"144";"1 / 3";"37241";"0";"17740";"0";"39164";"18349";"0"
"1464203140.32801";"около тысячи";"52";"нейтральный";"7";"304";"";"1 год 9 месяцев";"около 71 тысяч";"144";"1 / 3";"37241";"0";"17977";"0";"39935";"18604";"0"
"1464246340.85407";"около 4 тысяч";"52";"нейтральный";"13";"304";"";"1 год 9 месяцев";"около 71 тысяч";"144";"1 / 3";"37241";"0";"17711";"0";"39029";"18315";"0"
"1464289540.9578";"около тысячи";"52";"нейтральный";"13";"304";"";"1 год 9 месяцев";"около 71 тысяч";"144";"1 / 3";"37241";"0";"17901";"0";"39726";"18545";"0"
"1464332741.71689";"около тысячи";"52";"нейтральный";"14";"304";"";"1 год 9 месяцев";"около 71 тысяч";"144";"1 / 3";"37241";"0";"17679";"0";"39058";"18322";"0"
