"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853711.57092";"около 8 тысяч";"88";"добродушный";"995";"448";"";"6 лет 12 месяцев";"около 341 тысяч";"207";"111 / 121";"3241";"2982";"9233";"1668";"0";"3559";"3953";"11640"
"1463857568.8945";"около 8 тысяч";"88";"добродушный";"995";"448";"";"6 лет 12 месяцев";"около 341 тысяч";"207";"111 / 121";"3242";"2982";"9236";"1667";"0";"3565";"3957";"11808"
"1463900766.50316";"около 14 тысяч";"88";"добродушный";"995";"448";"";"6 лет 12 месяцев";"около 341 тысяч";"207";"111 / 121";"3242";"2982";"9236";"1664";"0";"3542";"3945";"12206"
"1463943969.6158";"около 14 тысяч";"88";"добродушный";"995";"448";"";"6 лет 12 месяцев";"около 341 тысяч";"207";"111 / 121";"3242";"2982";"9241";"1673";"0";"3569";"3959";"12768"
"1463987166.91395";"около 14 тысяч";"88";"добродушный";"995";"448";"";"6 лет 12 месяцев";"около 341 тысяч";"207";"111 / 121";"3243";"2982";"9246";"1673";"0";"3542";"3946";"13140"
"1464030368.0205";"около 8 тысяч";"88";"добродушный";"997";"448";"";"6 лет 12 месяцев";"около 341 тысяч";"207";"111 / 121";"3236";"2982";"9244";"1682";"0";"3556";"3950";"11515"
"1464073567.13694";"около 7 тысяч";"88";"добродушный";"998";"448";"";"6 лет 12 месяцев";"около 342 тысяч";"207";"111 / 121";"3236";"2982";"9250";"1674";"0";"3528";"3927";"11892"
"1464116766.88902";"ни одного";"88";"миролюбивый";"998";"448";"";"6 лет 12 месяцев";"около 342 тысяч";"208";"111 / 121";"3235";"2982";"9258";"1681";"0";"3600";"3940";"9406"
"1464159966.69483";"ни одного";"88";"добродушный";"998";"448";"";"6 лет 12 месяцев";"около 342 тысяч";"208";"111 / 121";"3237";"2982";"9263";"1678";"0";"3573";"3926";"9824"
"1464203165.87788";"около 3 тысяч";"88";"миролюбивый";"998";"448";"";"6 лет 12 месяцев";"около 342 тысяч";"208";"111 / 121";"3237";"2982";"9262";"1692";"0";"3597";"3952";"8226"
"1464246366.42343";"около 6 тысяч";"88";"миролюбивый";"999";"448";"";"6 лет 12 месяцев";"около 342 тысяч";"208";"111 / 121";"3238";"2982";"9267";"1683";"0";"3552";"3935";"8613"
"1464289566.53645";"около 4 тысяч";"88";"миролюбивый";"999";"448";"";"6 лет 12 месяцев";"около 342 тысяч";"208";"111 / 121";"3237";"2982";"9273";"2069";"0";"3577";"3958";"8629"
"1464332767.27396";"около 6 тысяч";"88";"миролюбивый";"1000";"448";"";"6 лет 12 месяцев";"около 342 тысяч";"208";"111 / 121";"3238";"2982";"9277";"2089";"0";"3547";"3935";"9162"
