"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853742.27202";"около 4 сотен";"74";"озлобленный";"992";"392";"29";"2 года 4 месяца";"около 153 тысяч";"158";"34 / 32";"10312";"24000";"0";"7611";"3859";"14156";"5900";"4462"
"1463857599.53117";"около 6 сотен";"74";"озлобленный";"992";"392";"29";"2 года 4 месяца";"около 153 тысяч";"158";"34 / 32";"10314";"24000";"0";"7619";"3860";"14175";"5902";"4497"
"1463900797.14292";"около 3 тысяч";"74";"озлобленный";"992";"392";"29";"2 года 4 месяца";"около 153 тысяч";"158";"34 / 32";"10313";"24000";"0";"7553";"3842";"14004";"5864";"4589"
"1463944000.29207";"около 9 тысяч";"74";"озлобленный";"994";"392";"29";"2 года 4 месяца";"около 153 тысяч";"158";"34 / 32";"10305";"24000";"0";"7605";"3861";"14149";"5885";"4239"
"1463987197.55882";"около 7 тысяч";"74";"озлобленный";"995";"392";"29";"2 года 4 месяца";"около 153 тысяч";"158";"34 / 32";"10301";"24000";"0";"7515";"3856";"13954";"5850";"4210"
"1464030398.78218";"около 14 тысяч";"74";"озлобленный";"995";"392";"29";"2 года 4 месяца";"около 153 тысяч";"158";"34 / 32";"10302";"24000";"0";"7594";"3871";"14095";"5879";"4366"
"1464073597.77185";"около 4 тысяч";"74";"озлобленный";"996";"392";"29";"2 года 4 месяца";"около 153 тысяч";"159";"34 / 32";"10300";"24000";"0";"7543";"3858";"14170";"5848";"4164"
"1464116797.53244";"около 21 тысяч";"74";"озлобленный";"997";"392";"29";"2 года 4 месяца";"около 154 тысяч";"159";"34 / 32";"10298";"24000";"0";"7606";"3879";"14309";"5881";"4358"
"1464159997.3524";"около 18 тысяч";"74";"озлобленный";"997";"392";"29";"2 года 4 месяца";"около 154 тысяч";"159";"35 / 32";"10242";"24000";"0";"7485";"3849";"14119";"5838";"4326"
"1464203196.52823";"около 10 тысяч";"74";"озлобленный";"998";"392";"29";"2 года 4 месяца";"около 154 тысяч";"159";"35 / 32";"10232";"24000";"0";"7538";"3873";"14247";"5855";"4470"
"1464246397.13831";"около 22 тысяч";"74";"озлобленный";"1000";"392";"29";"2 года 4 месяца";"около 154 тысяч";"159";"35 / 32";"10230";"24000";"0";"7428";"3843";"14040";"5822";"4554"
"1464289597.17966";"около 3 тысяч";"74";"озлобленный";"1000";"392";"29";"2 года 4 месяца";"около 154 тысяч";"159";"35 / 32";"10187";"24000";"0";"7509";"3866";"14157";"5878";"4674"
"1464332797.9009";"около 6 тысяч";"74";"озлобленный";"1001";"392";"29";"2 года 4 месяца";"около 154 тысяч";"159";"35 / 32";"10184";"24000";"0";"7452";"3841";"13969";"5835";"4774"
