"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853820.2553";"около 3 тысяч";"71";"нейтральный";"831";"380";"26";"4 года 8 месяцев";"около 176 тысяч";"160";"15 / 14";"12627";"20365";"0";"8567";"4695";"10098";"8680";"0"
"1463857676.2645";"около 3 тысяч";"71";"нейтральный";"831";"380";"26";"4 года 8 месяцев";"около 176 тысяч";"160";"15 / 14";"12629";"20365";"0";"8579";"4695";"10114";"8692";"0"
"1463900873.95034";"около 3 тысяч";"71";"нейтральный";"831";"380";"26";"4 года 8 месяцев";"около 176 тысяч";"160";"15 / 14";"12633";"20365";"0";"8506";"4673";"10044";"8637";"0"
"1463944077.06362";"около 3 тысяч";"71";"нейтральный";"831";"380";"26";"4 года 8 месяцев";"около 176 тысяч";"160";"15 / 14";"12637";"20365";"0";"8588";"4694";"10149";"8701";"0"
"1463987274.21459";"около 3 тысяч";"71";"нейтральный";"831";"380";"26";"4 года 8 месяцев";"около 176 тысяч";"160";"15 / 14";"12644";"20365";"0";"8490";"4684";"9997";"8630";"0"
"1464030475.60026";"около 3 тысяч";"71";"нейтральный";"831";"380";"26";"4 года 8 месяцев";"около 176 тысяч";"160";"15 / 14";"12648";"20365";"0";"8564";"4705";"10095";"8699";"0"
"1464073674.46144";"около 3 тысяч";"71";"нейтральный";"831";"380";"26";"4 года 8 месяцев";"около 176 тысяч";"160";"15 / 14";"12652";"20365";"0";"8505";"4690";"10021";"8649";"0"
"1464116874.45785";"около 3 тысяч";"71";"нейтральный";"831";"380";"26";"4 года 8 месяцев";"около 176 тысяч";"160";"15 / 14";"12656";"20365";"0";"8582";"4719";"10153";"8709";"0"
"1464160074.14074";"около 8 тысяч";"71";"нейтральный";"836";"380";"27";"4 года 8 месяцев";"около 176 тысяч";"160";"15 / 14";"12599";"20365";"0";"8386";"4392";"9913";"8565";"0"
"1464203273.19744";"около 8 тысяч";"71";"нейтральный";"836";"380";"27";"4 года 8 месяцев";"около 176 тысяч";"160";"15 / 14";"12615";"20365";"0";"8484";"4418";"10031";"8634";"0"
"1464246473.85699";"около 8 тысяч";"71";"нейтральный";"836";"380";"27";"4 года 8 месяцев";"около 176 тысяч";"160";"15 / 14";"12619";"20365";"0";"8374";"4383";"9885";"8553";"0"
"1464289674.0205";"около 8 тысяч";"71";"нейтральный";"836";"380";"27";"4 года 8 месяцев";"около 176 тысяч";"160";"15 / 14";"12622";"20365";"0";"8474";"4400";"10026";"8639";"0"
"1464332874.508";"около 8 тысяч";"71";"нейтральный";"836";"380";"27";"4 года 8 месяцев";"около 176 тысяч";"160";"15 / 14";"12623";"20365";"0";"8394";"4372";"9922";"8581";"0"
