"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853825.40822";"около 7 тысяч";"73";"миролюбивый";"800";"388";"";"5 лет 8 месяцев";"около 178 тысяч";"112";"361 / 113";"10481";"2023";"642";"6094";"0";"3945";"8074";"8399"
"1463857681.39783";"около 9 тысяч";"73";"миролюбивый";"800";"388";"";"5 лет 8 месяцев";"около 178 тысяч";"112";"361 / 113";"10481";"2023";"642";"6101";"0";"3952";"8087";"8552"
"1463900879.11085";"около 12 тысяч";"73";"миролюбивый";"801";"388";"";"5 лет 8 месяцев";"около 178 тысяч";"112";"361 / 113";"10479";"2023";"642";"6048";"0";"3920";"8035";"8406"
"1463944082.23045";"около 8 тысяч";"73";"миролюбивый";"802";"388";"";"5 лет 8 месяцев";"около 178 тысяч";"112";"361 / 113";"10476";"2023";"642";"6116";"0";"3954";"8076";"8288"
"1463987279.37964";"около 23 тысяч";"73";"миролюбивый";"802";"388";"";"5 лет 8 месяцев";"около 178 тысяч";"112";"361 / 113";"10477";"2023";"642";"6051";"0";"3903";"8009";"8184"
"1464030480.78411";"около 3 тысяч";"73";"миролюбивый";"803";"388";"";"5 лет 8 месяцев";"около 178 тысяч";"112";"361 / 113";"10449";"2023";"642";"6123";"0";"3928";"8040";"8251"
"1464073679.62218";"около 4 тысяч";"73";"миролюбивый";"804";"388";"";"5 лет 8 месяцев";"около 178 тысяч";"112";"361 / 113";"10452";"2023";"643";"6086";"0";"3899";"7992";"7568"
"1464116879.62556";"около 5 тысяч";"73";"миролюбивый";"804";"388";"";"5 лет 8 месяцев";"около 178 тысяч";"112";"361 / 113";"10450";"2023";"642";"6143";"0";"3923";"8041";"7366"
"1464160079.31053";"около 6 тысяч";"73";"миролюбивый";"804";"388";"";"5 лет 8 месяцев";"около 178 тысяч";"112";"361 / 113";"10447";"2023";"642";"6067";"0";"3899";"7957";"6653"
"1464203278.37491";"около 5 тысяч";"73";"миролюбивый";"805";"388";"";"5 лет 8 месяцев";"около 178 тысяч";"112";"361 / 113";"10443";"2023";"642";"6098";"0";"3924";"8006";"6708"
"1464246479.01957";"около 4 тысяч";"73";"миролюбивый";"806";"388";"";"5 лет 8 месяцев";"около 178 тысяч";"112";"361 / 113";"10443";"2023";"643";"6036";"0";"3865";"7930";"7120"
"1464289679.2154";"около 3 тысяч";"73";"миролюбивый";"806";"388";"";"5 лет 8 месяцев";"около 179 тысяч";"112";"361 / 113";"10443";"2023";"642";"6061";"0";"3904";"7998";"5944"
"1464332879.66211";"ни одного";"73";"миролюбивый";"806";"388";"";"5 лет 8 месяцев";"около 179 тысяч";"113";"361 / 113";"10444";"2023";"643";"6021";"0";"3961";"7946";"6503"
