"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853881.64267";"около 6 тысяч";"71";"нейтральный";"1003";"380";"1";"2 года 4 месяца";"около 137 тысяч";"115";"2 / 2";"12119";"24596";"0";"7536";"548";"8184";"7077";"0"
"1463857737.65327";"около 4 тысяч";"71";"нейтральный";"1003";"380";"1";"2 года 4 месяца";"около 137 тысяч";"115";"2 / 2";"12119";"24596";"0";"7498";"548";"8189";"7079";"0"
"1463900935.38851";"неизвестно";"71";"нейтральный";"1004";"380";"2";"2 года 4 месяца";"около 137 тысяч";"115";"2 / 2";"12118";"24596";"0";"7401";"545";"8104";"7029";"0"
"1463944138.50414";"около 7 тысяч";"71";"нейтральный";"1004";"380";"2";"2 года 4 месяца";"около 137 тысяч";"115";"2 / 2";"12114";"24596";"0";"7390";"546";"8187";"7069";"0"
"1463987335.66455";"около 5 тысяч";"71";"нейтральный";"1005";"380";"2";"2 года 4 месяца";"около 137 тысяч";"115";"2 / 2";"12109";"24596";"0";"7332";"546";"8079";"7005";"0"
"1464030537.12178";"около 10 тысяч";"71";"нейтральный";"1005";"380";"2";"2 года 4 месяца";"около 137 тысяч";"115";"2 / 2";"12082";"24596";"0";"7314";"547";"8139";"7027";"0"
"1464073735.86025";"около 5 тысяч";"71";"нейтральный";"1005";"380";"3";"2 года 4 месяца";"около 137 тысяч";"115";"2 / 2";"12081";"24596";"0";"7266";"546";"8069";"6982";"0"
"1464116935.95936";"около 2 тысяч";"71";"нейтральный";"1006";"380";"3";"2 года 4 месяца";"около 137 тысяч";"116";"2 / 2";"12078";"24596";"0";"7354";"547";"8333";"7019";"0"
"1464160135.55322";"около 9 тысяч";"71";"нейтральный";"1006";"380";"3";"2 года 4 месяца";"около 137 тысяч";"116";"2 / 2";"12074";"24596";"0";"7267";"540";"8209";"6956";"0"
"1464203334.65453";"около 4 тысяч";"71";"нейтральный";"1007";"380";"3";"2 года 4 месяца";"около 137 тысяч";"116";"2 / 2";"12070";"24596";"0";"7319";"541";"8281";"7010";"0"
"1464246535.29087";"около 3 тысяч";"71";"нейтральный";"1007";"380";"3";"2 года 4 месяца";"около 137 тысяч";"116";"2 / 2";"12067";"24596";"0";"7219";"521";"8169";"6953";"0"
"1464289735.46667";"около 4 тысяч";"71";"нейтральный";"1007";"380";"4";"2 года 4 месяца";"около 138 тысяч";"116";"2 / 2";"12071";"24596";"0";"7308";"521";"8266";"7008";"0"
"1464332935.89892";"около 7 тысяч";"71";"нейтральный";"1008";"380";"4";"2 года 4 месяца";"около 138 тысяч";"116";"2 / 2";"12070";"24596";"0";"7223";"509";"8134";"6960";"0"
