"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853891.84552";"около 9 тысяч";"86";"миролюбивый";"821";"440";"";"5 лет 8 месяцев";"около 288 тысяч";"113";"159 / 88";"3763";"3469";"2990";"3066";"0";"704";"4033";"7988"
"1463857747.87051";"около 9 тысяч";"86";"миролюбивый";"821";"440";"";"5 лет 8 месяцев";"около 288 тысяч";"113";"159 / 88";"3764";"3469";"2990";"3068";"0";"702";"4036";"8060"
"1463900945.60116";"около 4 десятков";"86";"миролюбивый";"828";"440";"";"5 лет 8 месяцев";"около 289 тысяч";"114";"159 / 88";"3756";"3469";"2990";"3071";"0";"726";"4010";"7929"
"1463944148.74209";"около тысячи";"86";"миролюбивый";"829";"440";"";"5 лет 8 месяцев";"около 289 тысяч";"114";"159 / 88";"3755";"3469";"2991";"3089";"0";"723";"4025";"8661"
"1463987345.87627";"около 6 тысяч";"86";"миролюбивый";"830";"440";"";"5 лет 8 месяцев";"около 289 тысяч";"114";"159 / 88";"3755";"3469";"2991";"3065";"0";"715";"4002";"8257"
"1464030547.44693";"около 15 сотен";"87";"миролюбивый";"831";"444";"";"5 лет 8 месяцев";"около 289 тысяч";"114";"159 / 88";"3752";"3469";"2990";"3078";"0";"715";"4023";"8334"
"1464073746.08369";"около 3 тысяч";"87";"миролюбивый";"831";"444";"";"5 лет 8 месяцев";"около 289 тысяч";"114";"159 / 88";"3751";"3469";"2991";"3047";"0";"708";"4004";"8772"
"1464116946.21995";"около 3 тысяч";"87";"миролюбивый";"831";"444";"";"5 лет 8 месяцев";"около 289 тысяч";"114";"159 / 88";"3752";"3469";"2994";"3065";"0";"712";"4026";"9429"
"1464160145.77596";"около 3 тысяч";"87";"добродушный";"831";"444";"";"5 лет 8 месяцев";"около 289 тысяч";"114";"159 / 88";"3753";"3469";"2994";"3049";"0";"712";"4014";"9842"
"1464203344.86709";"около 6 тысяч";"87";"миролюбивый";"834";"444";"";"5 лет 8 месяцев";"около 289 тысяч";"114";"159 / 88";"3749";"3469";"2995";"3051";"0";"713";"4016";"9109"
"1464246545.51541";"около 11 тысяч";"87";"миролюбивый";"835";"444";"";"5 лет 8 месяцев";"около 289 тысяч";"114";"159 / 88";"3750";"3469";"2996";"3023";"0";"704";"3999";"9485"
"1464289745.69915";"около 11 тысяч";"87";"миролюбивый";"835";"444";"";"5 лет 8 месяцев";"около 289 тысяч";"114";"159 / 88";"3751";"3469";"2998";"3050";"0";"708";"4030";"10053"
"1464332946.12559";"около 11 тысяч";"87";"добродушный";"835";"444";"";"5 лет 8 месяцев";"около 289 тысяч";"114";"159 / 88";"3752";"3469";"2998";"3040";"0";"708";"4009";"10572"
