"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853912.29195";"около 18 тысяч";"77";"добродушный";"1005";"404";"2";"5 лет 6 месяцев";"около 182 тысяч";"108";"51 / 49";"7785";"15847";"24723";"5572";"4272";"3325";"6203";"10931"
"1463857768.30346";"около 18 тысяч";"77";"добродушный";"1005";"404";"2";"5 лет 6 месяцев";"около 182 тысяч";"108";"51 / 49";"7785";"15847";"24725";"5576";"4272";"3329";"6208";"10516"
"1463900966.02596";"около 4 тысяч";"77";"добродушный";"1005";"404";"2";"5 лет 6 месяцев";"около 182 тысяч";"108";"51 / 49";"7783";"15847";"24733";"5564";"4252";"3304";"6157";"10922"
"1463944169.19606";"около 24 тысяч";"77";"миролюбивый";"1005";"404";"3";"5 лет 6 месяцев";"около 182 тысяч";"108";"51 / 49";"7783";"15847";"24736";"5579";"4278";"3318";"6188";"7478"
"1463987366.42039";"около 33 тысяч";"77";"миролюбивый";"1006";"404";"3";"5 лет 6 месяцев";"около 182 тысяч";"108";"51 / 49";"7779";"15847";"24739";"5513";"4266";"3290";"6152";"5646"
"1464030567.94417";"около 10 тысяч";"77";"миролюбивый";"1008";"404";"3";"5 лет 6 месяцев";"около 182 тысяч";"108";"51 / 49";"7760";"15847";"24746";"5564";"4294";"3303";"6159";"5984"
"1464073766.54763";"около 6 тысяч";"77";"миролюбивый";"1009";"404";"3";"5 лет 6 месяцев";"около 182 тысяч";"108";"51 / 49";"7759";"15847";"24748";"5530";"4277";"3275";"6126";"6432"
"1464116966.69878";"около 27 тысяч";"77";"миролюбивый";"1011";"404";"4";"5 лет 6 месяцев";"около 182 тысяч";"108";"51 / 49";"7760";"15847";"24753";"5575";"4297";"3291";"6165";"5958"
"1464160166.31673";"около 2 тысяч";"78";"миролюбивый";"1012";"408";"4";"5 лет 6 месяцев";"около 182 тысяч";"109";"51 / 49";"7755";"15847";"24761";"5510";"4261";"3361";"6093";"5222"
"1464203365.32302";"около 7 тысяч";"78";"миролюбивый";"1012";"408";"4";"5 лет 6 месяцев";"около 182 тысяч";"109";"51 / 49";"7736";"15847";"24767";"5566";"4288";"3387";"6134";"5275"
"1464246566.01397";"около 3 сотен";"78";"миролюбивый";"1014";"408";"4";"5 лет 6 месяцев";"около 182 тысяч";"109";"51 / 49";"7730";"15847";"24766";"5485";"4256";"3350";"6059";"5709"
"1464289766.15735";"около 12 тысяч";"78";"миролюбивый";"1013";"408";"5";"5 лет 6 месяцев";"около 183 тысяч";"109";"51 / 49";"7734";"15847";"24772";"5533";"4272";"3367";"6106";"6282"
"1464332966.58323";"около 14 тысяч";"78";"миролюбивый";"1014";"408";"5";"5 лет 6 месяцев";"около 183 тысяч";"109";"51 / 49";"7706";"15847";"24777";"5497";"4247";"3335";"6063";"6874"
