"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853922.51647";"около 2 тысяч";"74";"добродушный";"911";"392";"28";"3 года 12 месяцев";"около 153 тысяч";"169";"23 / 24";"10373";"23167";"0";"7485";"4094";"16980";"7539";"10914"
"1463857778.51197";"около 7 тысяч";"74";"добродушный";"913";"392";"28";"3 года 12 месяцев";"около 153 тысяч";"169";"23 / 24";"10373";"23167";"0";"7492";"4095";"17000";"7545";"10986"
"1463900976.23383";"около 8 тысяч";"74";"добродушный";"913";"392";"28";"3 года 12 месяцев";"около 153 тысяч";"169";"23 / 24";"10373";"23167";"0";"7425";"4070";"16814";"7498";"9582"
"1463944179.42451";"около 8 тысяч";"74";"добродушный";"913";"392";"28";"3 года 12 месяцев";"около 153 тысяч";"169";"23 / 24";"10379";"23167";"0";"7483";"4096";"16996";"7548";"10230"
"1463987376.67101";"около тысячи";"74";"добродушный";"914";"392";"28";"3 года 12 месяцев";"около 153 тысяч";"169";"23 / 24";"10348";"23167";"0";"7396";"4083";"16795";"7477";"10402"
"1464030578.18251";"около тысячи";"74";"добродушный";"914";"392";"28";"3 года 12 месяцев";"около 153 тысяч";"169";"23 / 24";"10357";"23167";"0";"7462";"4101";"16930";"7536";"10980"
"1464073776.75274";"около тысячи";"74";"добродушный";"914";"392";"28";"3 года 12 месяцев";"около 153 тысяч";"169";"23 / 24";"10361";"23167";"0";"7415";"4089";"16787";"7497";"11380"
"1464116976.97201";"около 8 тысяч";"74";"добродушный";"916";"392";"28";"3 года 12 месяцев";"около 153 тысяч";"169";"23 / 24";"10346";"23167";"0";"7488";"4107";"16894";"7537";"11941"
"1464160176.54045";"около 2 тысяч";"74";"добродушный";"916";"392";"28";"3 года 12 месяцев";"около 153 тысяч";"169";"23 / 24";"10349";"23167";"0";"7396";"4077";"16699";"7460";"11096"
"1464203375.58714";"около 2 тысяч";"74";"добродушный";"916";"392";"28";"3 года 12 месяцев";"около 153 тысяч";"169";"23 / 24";"10353";"23167";"0";"7476";"4095";"16877";"7522";"11660"
"1464246576.24948";"около 5 тысяч";"74";"миролюбивый";"919";"392";"28";"3 года 12 месяцев";"около 154 тысяч";"169";"23 / 24";"10352";"23167";"0";"7394";"4060";"16596";"7445";"9689"
"1464289776.37468";"около 12 тысяч";"74";"миролюбивый";"921";"392";"29";"3 года 12 месяцев";"около 154 тысяч";"169";"23 / 24";"10354";"23167";"0";"7521";"3856";"16818";"7492";"9702"
"1464332976.82167";"около 2 сотен";"74";"миролюбивый";"923";"392";"29";"3 года 12 месяцев";"около 154 тысяч";"169";"23 / 24";"10348";"23167";"0";"7447";"3831";"16584";"7425";"9968"
