"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853942.9972";"около 16 сотен";"48";"нейтральный";"3";"288";"1";"1 год";"около 52 тысяч";"83";"77 / 9";"37177";"1791";"19135";"24163";"33080";"18586";"0"
"1463857798.98829";"около 16 сотен";"48";"нейтральный";"3";"288";"1";"1 год";"около 52 тысяч";"83";"77 / 9";"37177";"1791";"19157";"24197";"33111";"18601";"0"
"1463900996.67822";"около 16 сотен";"48";"нейтральный";"3";"288";"1";"1 год 1 месяц";"около 52 тысяч";"83";"77 / 9";"37177";"1792";"18920";"23774";"32562";"18408";"0"
"1463944199.91449";"около 16 сотен";"48";"нейтральный";"3";"288";"1";"1 год 1 месяц";"около 52 тысяч";"83";"77 / 9";"37177";"1792";"19160";"24094";"33025";"18623";"0"
"1463987397.12807";"около 16 сотен";"48";"нейтральный";"3";"288";"1";"1 год 1 месяц";"около 52 тысяч";"83";"77 / 9";"37177";"1793";"18937";"23772";"32554";"18419";"0"
"1464030598.67648";"около 16 сотен";"48";"нейтральный";"3";"288";"1";"1 год 1 месяц";"около 52 тысяч";"83";"77 / 9";"37177";"1794";"19181";"24097";"33017";"18635";"0"
"1464073797.20391";"около 5 тысяч";"48";"нейтральный";"12";"288";"2";"1 год 1 месяц";"около 52 тысяч";"84";"77 / 9";"37177";"1793";"18686";"23166";"32662";"18407";"0"
"1464116997.48289";"около 3 тысяч";"48";"нейтральный";"13";"288";"2";"1 год 1 месяц";"около 52 тысяч";"84";"77 / 9";"37177";"1793";"18895";"23485";"33118";"18644";"0"
"1464160197.05977";"около 3 тысяч";"48";"нейтральный";"13";"288";"2";"1 год 1 месяц";"около 52 тысяч";"84";"77 / 9";"37177";"1793";"18630";"23045";"32595";"18395";"0"
"1464203396.70844";"около 9 тысяч";"48";"нейтральный";"14";"288";"2";"1 год 1 месяц";"около 52 тысяч";"84";"77 / 9";"37177";"1794";"18779";"23427";"33043";"18641";"0"
"1464246596.70639";"около 9 тысяч";"48";"нейтральный";"14";"288";"2";"1 год 1 месяц";"около 52 тысяч";"84";"77 / 9";"37177";"1794";"18510";"23052";"32467";"18375";"0"
"1464289796.85209";"около 9 тысяч";"48";"нейтральный";"14";"288";"2";"1 год 1 месяц";"около 52 тысяч";"84";"77 / 9";"37177";"1794";"18761";"23339";"32930";"18606";"0"
"1464332997.28636";"около 8 тысяч";"48";"нейтральный";"15";"288";"3";"1 год 1 месяц";"около 52 тысяч";"84";"77 / 9";"37177";"1794";"18307";"22253";"32321";"18357";"0"
