"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854012.3547";"около 6 тысяч";"80";"нейтральный";"807";"416";"";"4 года 12 месяцев";"около 231 тысяч";"131";"113 / 57";"6341";"4971";"4648";"4532";"0";"2834";"4655";"0"
"1463857865.63608";"около 6 тысяч";"80";"нейтральный";"807";"416";"";"4 года 12 месяцев";"около 231 тысяч";"131";"113 / 57";"6341";"4971";"4648";"4533";"0";"2836";"4656";"0"
"1463901065.28668";"около 6 тысяч";"80";"нейтральный";"807";"416";"";"4 года 12 месяцев";"около 231 тысяч";"131";"113 / 57";"6345";"4971";"4648";"4502";"0";"2821";"4632";"0"
"1463944266.38682";"около 6 тысяч";"80";"нейтральный";"807";"416";"";"4 года 12 месяцев";"около 231 тысяч";"131";"113 / 57";"6347";"4971";"4651";"4527";"0";"2838";"4655";"0"
"1463987463.59551";"около 6 тысяч";"80";"нейтральный";"807";"416";"";"4 года 12 месяцев";"около 231 тысяч";"131";"113 / 57";"6352";"4971";"4655";"4497";"0";"2809";"4643";"0"
"1464030665.19987";"около 5 тысяч";"80";"нейтральный";"811";"416";"";"4 года 12 месяцев";"около 232 тысяч";"132";"113 / 57";"6352";"4971";"4658";"4547";"0";"2894";"4655";"0"
"1464073863.83385";"около 6 тысяч";"80";"нейтральный";"811";"416";"";"4 года 12 месяцев";"около 232 тысяч";"132";"113 / 57";"6352";"4971";"4659";"4514";"0";"2877";"4632";"0"
"1464117063.99425";"около 6 тысяч";"80";"нейтральный";"811";"416";"";"4 года 12 месяцев";"около 232 тысяч";"132";"113 / 57";"6354";"4971";"4659";"4543";"0";"2897";"4658";"0"
"1464160263.50255";"около 6 тысяч";"80";"нейтральный";"811";"416";"";"4 года 12 месяцев";"около 232 тысяч";"132";"113 / 57";"6358";"4971";"4657";"4511";"0";"2878";"4641";"0"
"1464203463.20907";"около 6 тысяч";"80";"нейтральный";"811";"416";"";"4 года 12 месяцев";"около 232 тысяч";"132";"113 / 57";"6359";"4971";"4658";"4538";"0";"2899";"4672";"0"
"1464246663.29157";"около 6 тысяч";"80";"нейтральный";"811";"416";"";"4 года 12 месяцев";"около 232 тысяч";"132";"113 / 57";"6360";"4971";"4658";"4501";"0";"2864";"4655";"0"
"1464289863.44465";"около 6 тысяч";"80";"нейтральный";"811";"416";"";"4 года 12 месяцев";"около 232 тысяч";"132";"113 / 57";"6362";"4971";"4659";"4550";"0";"2883";"4696";"0"
"1464333063.73336";"около 6 тысяч";"80";"нейтральный";"811";"416";"";"4 года 12 месяцев";"около 232 тысяч";"132";"113 / 57";"6363";"4971";"4660";"4535";"0";"2863";"4676";"0"
