"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854058.42966";"ни одного";"70";"нейтральный";"841";"376";"14";"2 года 9 месяцев";"около 141 тысяч";"130";"11 / 16";"13433";"22138";"0";"8089";"10517";"10309";"7770";"0"
"1463857912.04103";"ни одного";"70";"нейтральный";"841";"376";"14";"2 года 9 месяцев";"около 141 тысяч";"130";"11 / 16";"13433";"22138";"0";"8095";"10525";"10319";"7775";"0"
"1463901111.29841";"около тысячи";"70";"нейтральный";"841";"376";"14";"2 года 9 месяцев";"около 141 тысяч";"130";"11 / 16";"13436";"22138";"0";"8022";"10459";"10242";"7725";"0"
"1463944312.4731";"несколько";"70";"нейтральный";"842";"376";"14";"2 года 9 месяцев";"около 142 тысяч";"130";"11 / 16";"13426";"22138";"0";"8090";"10528";"10326";"7733";"0"
"1463987509.78047";"около 21 тысяч";"70";"нейтральный";"843";"376";"14";"2 года 9 месяцев";"около 142 тысяч";"130";"11 / 16";"13423";"22138";"0";"7991";"10479";"10183";"7673";"0"
"1464030711.35731";"около 11 тысяч";"70";"нейтральный";"843";"376";"14";"2 года 9 месяцев";"около 142 тысяч";"130";"11 / 16";"13421";"22138";"0";"8044";"10550";"10243";"7727";"0"
"1464073909.87362";"около 11 тысяч";"70";"нейтральный";"843";"376";"14";"2 года 9 месяцев";"около 142 тысяч";"130";"11 / 16";"13426";"22138";"0";"7990";"10475";"10184";"7693";"0"
"1464117110.09494";"около 13 тысяч";"70";"нейтральный";"844";"376";"14";"2 года 9 месяцев";"около 142 тысяч";"130";"11 / 16";"13408";"22138";"0";"7979";"10553";"10288";"7735";"0"
"1464160309.59595";"около 7 тысяч";"70";"нейтральный";"844";"376";"14";"2 года 9 месяцев";"около 142 тысяч";"130";"11 / 16";"13412";"22138";"0";"7862";"10443";"10152";"7649";"0"
"1464203509.24149";"около 4 тысяч";"70";"нейтральный";"844";"376";"15";"2 года 9 месяцев";"около 142 тысяч";"130";"11 / 16";"13409";"22138";"0";"7978";"9890";"10252";"7705";"0"
"1464246709.32781";"около 7 тысяч";"70";"нейтральный";"844";"376";"15";"2 года 9 месяцев";"около 142 тысяч";"130";"11 / 16";"13408";"22138";"0";"7881";"9798";"10079";"7643";"0"
"1464289909.51086";"около 5 тысяч";"70";"нейтральный";"850";"376";"15";"2 года 9 месяцев";"около 142 тысяч";"130";"11 / 16";"13370";"22138";"0";"7968";"9864";"10195";"7708";"0"
"1464333109.84622";"около 9 тысяч";"70";"нейтральный";"850";"376";"15";"2 года 9 месяцев";"около 142 тысяч";"130";"11 / 16";"13372";"22138";"0";"7897";"9776";"10088";"7657";"0"
