"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854068.69255";"около сотни";"71";"миролюбивый";"909";"380";"17";"3 года 1 месяц";"около 180 тысяч";"153";"11 / 5";"12191";"21907";"0";"8202";"8645";"8446";"7172";"6005"
"1463857922.29766";"около 2 сотен";"71";"миролюбивый";"909";"380";"17";"3 года 1 месяц";"около 180 тысяч";"153";"11 / 5";"12191";"21907";"0";"8209";"8653";"8455";"7177";"6091"
"1463901121.54583";"около 3 тысяч";"71";"миролюбивый";"909";"380";"17";"3 года 1 месяц";"около 180 тысяч";"153";"11 / 5";"12188";"21907";"0";"8146";"8602";"8359";"7128";"4159"
"1463944322.69966";"около 3 тысяч";"71";"миролюбивый";"910";"380";"17";"3 года 1 месяц";"около 180 тысяч";"153";"11 / 5";"12193";"21907";"0";"8221";"8654";"8445";"7173";"4851"
"1463987520.02635";"около 3 тысяч";"71";"миролюбивый";"910";"380";"17";"3 года 1 месяц";"около 180 тысяч";"153";"11 / 5";"12195";"21907";"0";"8135";"8624";"8326";"7131";"5362"
"1464030721.61103";"около 3 тысяч";"71";"миролюбивый";"910";"380";"17";"3 года 1 месяц";"около 180 тысяч";"153";"11 / 5";"12207";"21907";"0";"8204";"8665";"8412";"7184";"5996"
"1464073920.1234";"около 3 тысяч";"71";"миролюбивый";"910";"380";"17";"3 года 1 месяц";"около 180 тысяч";"153";"11 / 5";"12210";"21907";"0";"8149";"8606";"8353";"7144";"6451"
"1464117120.31344";"около 3 тысяч";"71";"миролюбивый";"910";"380";"17";"3 года 1 месяц";"около 180 тысяч";"153";"11 / 5";"12213";"21907";"0";"8220";"8652";"8448";"7185";"7130"
"1464160319.81127";"около 3 тысяч";"71";"миролюбивый";"910";"380";"17";"3 года 1 месяц";"около 180 тысяч";"153";"11 / 5";"12218";"21907";"0";"8123";"8565";"8342";"7123";"7592"
"1464203519.4714";"около 3 тысяч";"71";"миролюбивый";"910";"380";"17";"3 года 1 месяц";"около 180 тысяч";"153";"11 / 5";"12222";"21907";"0";"8218";"8639";"8447";"7177";"8230"
"1464246719.55671";"около 3 тысяч";"71";"миролюбивый";"910";"380";"17";"3 года 1 месяц";"около 180 тысяч";"153";"11 / 5";"12226";"21907";"0";"8112";"8550";"8313";"7122";"8620"
"1464289919.7511";"около 4 тысяч";"71";"миролюбивый";"921";"380";"17";"3 года 1 месяц";"около 181 тысяч";"153";"11 / 5";"12137";"21907";"0";"8021";"8612";"8357";"7157";"7168"
"1464333120.12602";"около 4 тысяч";"71";"миролюбивый";"921";"380";"17";"3 года 1 месяц";"около 181 тысяч";"153";"11 / 5";"12137";"21907";"0";"7927";"8547";"8262";"7106";"7737"
