"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854078.92718";"около 5 тысяч";"70";"добродетельный";"808";"376";"37";"2 года 4 месяца";"около 158 тысяч";"122";"7 / 3";"13494";"25080";"0";"9254";"1587";"6626";"7720";"2292"
"1463857932.64505";"около 6 тысяч";"70";"добродетельный";"808";"376";"37";"2 года 4 месяца";"около 158 тысяч";"122";"7 / 3";"13494";"25080";"0";"9261";"1587";"6616";"7728";"2384"
"1463901131.75128";"около 18 сотен";"70";"добродетельный";"808";"376";"37";"2 года 4 месяца";"около 158 тысяч";"122";"7 / 3";"13483";"25080";"0";"9127";"1580";"6578";"7674";"989"
"1463944332.92514";"около 5 тысяч";"70";"добродетельный";"808";"376";"37";"2 года 4 месяца";"около 158 тысяч";"123";"7 / 3";"13477";"25080";"0";"9215";"1586";"6753";"7721";"1428"
"1463987530.26587";"ни одного";"70";"добродетельный";"809";"376";"37";"2 года 4 месяца";"около 158 тысяч";"125";"7 / 3";"13470";"25080";"0";"9127";"1579";"6908";"7652";"1297"
"1464030731.85382";"около 6 тысяч";"70";"добродетельный";"810";"376";"37";"2 года 4 месяца";"около 158 тысяч";"125";"7 / 3";"13469";"25080";"0";"9178";"1584";"6961";"7708";"1347"
"1464073930.32972";"около 4 тысяч";"70";"добродетельный";"811";"376";"37";"2 года 4 месяца";"около 159 тысяч";"125";"7 / 3";"13459";"25080";"0";"9068";"1579";"6894";"7668";"1498"
"1464117130.52762";"около 5 тысяч";"70";"добродетельный";"812";"376";"37";"2 года 4 месяца";"около 159 тысяч";"125";"7 / 3";"13450";"25080";"0";"9120";"1585";"6961";"7704";"1534"
"1464160330.01534";"около 2 тысяч";"70";"добродетельный";"813";"376";"37";"2 года 4 месяца";"около 159 тысяч";"125";"7 / 3";"13441";"25080";"0";"10277";"1575";"6870";"7619";"1398"
"1464203529.67954";"около 6 тысяч";"70";"добродетельный";"813";"376";"37";"2 года 4 месяца";"около 159 тысяч";"125";"7 / 3";"13439";"25080";"0";"10392";"1582";"6938";"7684";"1731"
"1464246729.75221";"около 8 тысяч";"70";"добродетельный";"814";"376";"38";"2 года 4 месяца";"около 159 тысяч";"125";"7 / 3";"13432";"25080";"0";"9418";"1466";"6834";"7620";"1554"
"1464289929.97247";"около 3 тысяч";"70";"добродетельный";"814";"376";"38";"2 года 4 месяца";"около 159 тысяч";"125";"7 / 3";"13427";"25080";"0";"9388";"1469";"6922";"7676";"2112"
"1464333130.34135";"около 6 тысяч";"70";"добродетельный";"815";"376";"38";"2 года 4 месяца";"около 159 тысяч";"125";"7 / 3";"13421";"25080";"0";"9272";"1455";"6809";"7622";"1732"
