"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854084.09162";"около 3 тысяч";"68";"нейтральный";"918";"368";"14";"4 года 12 месяцев";"около 150 тысяч";"169";"9 / 19";"14941";"21362";"0";"8972";"11094";"17663";"8503";"0"
"1463857937.77888";"около 3 тысяч";"68";"нейтральный";"918";"368";"14";"4 года 12 месяцев";"около 150 тысяч";"169";"9 / 19";"14942";"21362";"0";"8977";"11103";"17681";"8513";"0"
"1463901136.85557";"около 18 сотен";"68";"нейтральный";"919";"368";"14";"4 года 12 месяцев";"около 151 тысяч";"169";"9 / 19";"14939";"21362";"0";"8872";"11023";"17474";"8447";"0"
"1463944338.04068";"около 5 тысяч";"68";"нейтральный";"919";"368";"14";"4 года 12 месяцев";"около 151 тысяч";"169";"9 / 19";"14927";"21362";"0";"8940";"11102";"17625";"8502";"0"
"1463987535.36893";"около 7 тысяч";"68";"нейтральный";"920";"368";"14";"4 года 12 месяцев";"около 151 тысяч";"169";"9 / 19";"14922";"21362";"0";"8850";"11048";"17449";"8420";"0"
"1464030736.99369";"около 7 тысяч";"68";"нейтральный";"920";"368";"14";"4 года 12 месяцев";"около 151 тысяч";"169";"9 / 19";"14925";"21362";"0";"8929";"11105";"17625";"8478";"0"
"1464073935.43706";"около 10 тысяч";"68";"нейтральный";"921";"368";"14";"4 года 12 месяцев";"около 151 тысяч";"169";"9 / 19";"14912";"21362";"0";"8816";"11017";"17380";"8420";"0"
"1464117135.63784";"около 6 тысяч";"68";"нейтральный";"922";"368";"14";"4 года 12 месяцев";"около 151 тысяч";"169";"9 / 19";"14906";"21362";"0";"8957";"11085";"17608";"8458";"0"
"1464160335.12067";"около 3 тысяч";"68";"нейтральный";"923";"368";"14";"4 года 12 месяцев";"около 151 тысяч";"169";"9 / 19";"14875";"21362";"0";"8809";"10963";"17317";"8376";"0"
"1464203534.79007";"около тысячи";"68";"нейтральный";"923";"368";"14";"4 года 12 месяцев";"около 151 тысяч";"169";"9 / 19";"14871";"21362";"0";"8861";"11051";"17518";"8439";"0"
"1464246734.8732";"около 7 тысяч";"68";"нейтральный";"924";"368";"15";"4 года 12 месяцев";"около 151 тысяч";"169";"9 / 19";"14864";"21362";"0";"8689";"10312";"17248";"8352";"0"
"1464289935.08489";"около тысячи";"68";"нейтральный";"925";"368";"15";"4 года 12 месяцев";"около 151 тысяч";"169";"9 / 19";"14832";"21362";"0";"8789";"10382";"17446";"8428";"0"
"1464333135.44717";"ни одного";"68";"нейтральный";"925";"368";"15";"4 года 12 месяцев";"около 151 тысяч";"170";"9 / 19";"14827";"21362";"0";"8708";"10297";"17496";"8370";"0"
