"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854125.0105";"около 3 сотен";"72";"нейтральный";"828";"384";"";"4 года 7 месяцев";"около 171 тысяч";"181";"140 / 189";"11513";"13668";"7453";"6545";"0";"15208";"8873";"0"
"1463857978.92764";"около 3 сотен";"72";"нейтральный";"828";"384";"";"4 года 7 месяцев";"около 171 тысяч";"181";"140 / 189";"11513";"13668";"7453";"6550";"0";"15223";"8880";"0"
"1463901177.74364";"около 3 сотен";"72";"нейтральный";"828";"384";"";"4 года 7 месяцев";"около 171 тысяч";"181";"140 / 189";"11513";"13668";"7454";"6483";"0";"15052";"8820";"0"
"1463944379.03537";"ни одного";"72";"нейтральный";"836";"384";"";"4 года 7 месяцев";"около 171 тысяч";"182";"140 / 189";"11493";"13668";"7457";"6490";"0";"15389";"8880";"0"
"1463987576.24125";"ни одного";"72";"нейтральный";"836";"384";"";"4 года 7 месяцев";"около 171 тысяч";"182";"140 / 189";"11495";"13668";"7455";"6437";"0";"15220";"8803";"0"
"1464030778.12586";"около 2 сотен";"72";"нейтральный";"836";"384";"";"4 года 7 месяцев";"около 171 тысяч";"182";"140 / 189";"11496";"13668";"7459";"6504";"0";"15315";"8876";"0"
"1464073976.31605";"около 2 сотен";"72";"нейтральный";"836";"384";"";"4 года 7 месяцев";"около 171 тысяч";"182";"140 / 189";"11498";"13668";"7458";"6470";"0";"15196";"8826";"0"
"1464117176.52732";"около 2 сотен";"72";"нейтральный";"836";"384";"";"4 года 7 месяцев";"около 171 тысяч";"182";"140 / 189";"11499";"13668";"7460";"6523";"0";"15384";"8888";"0"
"1464160375.98404";"около 5 тысяч";"72";"нейтральный";"837";"384";"";"4 года 7 месяцев";"около 171 тысяч";"182";"140 / 189";"11478";"13668";"7463";"6374";"0";"15165";"8787";"0"
"1464203575.85909";"около 5 тысяч";"72";"нейтральный";"837";"384";"";"4 года 7 месяцев";"около 171 тысяч";"182";"140 / 189";"11483";"13668";"7468";"6438";"0";"15355";"8861";"0"
"1464246775.74078";"около 5 тысяч";"72";"нейтральный";"837";"384";"";"4 года 7 месяцев";"около 171 тысяч";"182";"140 / 189";"11484";"13668";"7466";"6374";"0";"15142";"8770";"0"
"1464289975.97272";"около 2 тысяч";"72";"нейтральный";"838";"384";"";"4 года 7 месяцев";"около 171 тысяч";"183";"140 / 189";"11485";"13668";"7470";"6408";"0";"15524";"8854";"0"
"1464333176.32057";"около 2 тысяч";"72";"нейтральный";"838";"384";"";"4 года 7 месяцев";"около 171 тысяч";"183";"140 / 189";"11489";"13668";"7474";"6356";"0";"15369";"8794";"0"
