"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854227.26146";"около 9 тысяч";"52";"беззлобный";"14";"304";"3";"1 год 8 месяцев";"около 68 тысяч";"99";"12 / 25";"37005";"0";"17455";"23196";"29150";"18186";"14594"
"1463858082.49175";"около 10 тысяч";"52";"беззлобный";"14";"304";"3";"1 год 8 месяцев";"около 68 тысяч";"99";"12 / 25";"37005";"0";"17473";"23220";"29185";"18204";"14656"
"1463901279.95983";"около 12 тысяч";"52";"беззлобный";"14";"304";"3";"1 год 8 месяцев";"около 68 тысяч";"99";"12 / 25";"37005";"0";"17269";"22771";"28817";"18005";"14936"
"1463944481.43955";"около 12 тысяч";"52";"беззлобный";"14";"304";"3";"1 год 8 месяцев";"около 68 тысяч";"99";"12 / 25";"37005";"0";"17481";"22980";"29203";"18222";"15443"
"1463987678.60442";"около 3 тысяч";"52";"добродушный";"16";"304";"3";"1 год 8 месяцев";"около 68 тысяч";"99";"12 / 25";"37005";"0";"17102";"22610";"28728";"17950";"14017"
"1464030880.50323";"около 5 тысяч";"52";"беззлобный";"16";"304";"4";"1 год 8 месяцев";"около 68 тысяч";"99";"12 / 25";"37005";"0";"17282";"22296";"29051";"18121";"14532"
"1464074078.54747";"ни одного";"52";"беззлобный";"17";"304";"4";"1 год 8 месяцев";"около 68 тысяч";"100";"12 / 25";"37005";"0";"17085";"21966";"29062";"17895";"14855"
"1464117278.94339";"около 4 тысяч";"52";"добродушный";"17";"304";"4";"1 год 8 месяцев";"около 68 тысяч";"100";"12 / 25";"37005";"0";"17339";"22181";"29406";"18136";"13581"
"1464160478.21859";"около 8 сотен";"52";"добродушный";"18";"304";"4";"1 год 8 месяцев";"около 68 тысяч";"100";"12 / 25";"37005";"0";"18674";"21764";"28990";"17881";"12739"
"1464203678.126";"около 4 десятков";"52";"добродушный";"18";"304";"4";"1 год 8 месяцев";"около 68 тысяч";"100";"12 / 25";"37005";"0";"17610";"21997";"29345";"18120";"13323"
"1464246877.95581";"около 4 десятков";"52";"добродушный";"18";"304";"4";"1 год 8 месяцев";"около 68 тысяч";"100";"12 / 25";"37005";"0";"17361";"21637";"28928";"17856";"13673"
"1464290078.32468";"около 2 тысяч";"52";"добродушный";"24";"304";"4";"1 год 8 месяцев";"около 69 тысяч";"100";"12 / 25";"37005";"0";"17657";"21797";"29230";"18036";"14173"
"1464333282.75453";"около 9 тысяч";"52";"добродушный";"26";"304";"4";"1 год 8 месяцев";"около 69 тысяч";"100";"12 / 25";"37005";"0";"17374";"21453";"28784";"17748";"13226"
