"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854242.58977";"около 5 тысяч";"70";"нейтральный";"836";"376";"41";"4 года 4 месяца";"около 167 тысяч";"140";"50 / 37";"13636";"14706";"21801";"7604";"1182";"8147";"8721";"0"
"1463858098.19947";"около 5 тысяч";"70";"нейтральный";"836";"376";"41";"4 года 4 месяца";"около 167 тысяч";"140";"50 / 37";"13637";"14706";"21802";"7607";"1182";"8153";"8729";"0"
"1463901295.27673";"около 5 тысяч";"70";"нейтральный";"836";"376";"41";"4 года 4 месяца";"около 167 тысяч";"140";"50 / 37";"13641";"14706";"21806";"7542";"1178";"8087";"8671";"0"
"1463944496.77084";"около 5 тысяч";"70";"нейтральный";"836";"376";"41";"4 года 4 месяца";"около 167 тысяч";"140";"50 / 37";"13652";"14706";"21812";"7600";"1184";"8185";"8737";"0"
"1463987693.93265";"около 5 тысяч";"70";"нейтральный";"836";"376";"41";"4 года 4 месяца";"около 167 тысяч";"140";"50 / 37";"13653";"14706";"21820";"7524";"1179";"8078";"8665";"0"
"1464030895.84569";"около 2 тысяч";"70";"нейтральный";"838";"376";"42";"4 года 4 месяца";"около 167 тысяч";"141";"50 / 37";"13621";"14706";"21826";"7600";"1093";"8240";"8716";"0"
"1464074093.87851";"около 2 тысяч";"70";"нейтральный";"838";"376";"42";"4 года 4 месяца";"около 167 тысяч";"141";"50 / 37";"13626";"14706";"21827";"7551";"1090";"8181";"8666";"0"
"1464117294.27671";"около 2 тысяч";"70";"нейтральный";"838";"376";"42";"4 года 4 месяца";"около 167 тысяч";"141";"50 / 37";"13634";"14706";"21829";"7611";"1092";"8265";"8726";"0"
"1464160493.54517";"около 2 тысяч";"70";"нейтральный";"838";"376";"42";"4 года 4 месяца";"около 167 тысяч";"141";"50 / 37";"13644";"14706";"21835";"7521";"1082";"8169";"8639";"0"
"1464203693.47051";"около 6 тысяч";"70";"нейтральный";"845";"376";"42";"4 года 4 месяца";"около 168 тысяч";"141";"50 / 37";"13568";"14706";"21839";"7583";"1086";"8223";"8693";"0"
"1464246893.26455";"около 6 тысяч";"70";"нейтральный";"845";"376";"42";"4 года 4 месяца";"около 168 тысяч";"141";"50 / 37";"13577";"14706";"21841";"7490";"1064";"8103";"8608";"0"
"1464290093.64334";"около 6 тысяч";"70";"нейтральный";"845";"376";"42";"4 года 4 месяца";"около 168 тысяч";"141";"50 / 37";"13584";"14706";"21845";"7586";"1066";"8218";"8693";"0"
"1464333298.0922";"около 6 тысяч";"70";"нейтральный";"845";"376";"42";"4 года 5 месяцев";"около 168 тысяч";"141";"50 / 37";"13590";"14706";"21850";"7516";"1054";"8112";"8629";"0"
