"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854288.6272";"около 4 тысяч";"81";"нейтральный";"920";"420";"84";"6 лет 7 месяцев";"около 242 тысяч";"131";"305 / 65";"5938";"3003";"554";"2875";"36";"2415";"5774";"0"
"1463858144.58631";"около 4 тысяч";"81";"нейтральный";"920";"420";"84";"6 лет 7 месяцев";"около 242 тысяч";"131";"305 / 65";"5940";"3003";"554";"2877";"36";"2417";"5776";"0"
"1463901341.33591";"около 4 тысяч";"81";"нейтральный";"920";"420";"84";"6 лет 7 месяцев";"около 242 тысяч";"131";"305 / 65";"5942";"3003";"554";"2864";"36";"2408";"5746";"0"
"1463944542.75036";"около 4 тысяч";"81";"нейтральный";"920";"420";"84";"6 лет 7 месяцев";"около 242 тысяч";"131";"305 / 65";"5944";"3003";"554";"2879";"36";"2420";"5778";"0"
"1463987739.99892";"около 8 тысяч";"81";"нейтральный";"922";"420";"84";"6 лет 7 месяцев";"около 242 тысяч";"131";"305 / 65";"5935";"3003";"554";"2842";"36";"2388";"5732";"0"
"1464030942.82956";"около 8 тысяч";"81";"нейтральный";"922";"420";"84";"6 лет 7 месяцев";"около 242 тысяч";"131";"305 / 65";"5940";"3003";"554";"2855";"36";"2399";"5773";"0"
"1464074139.84848";"около 8 тысяч";"81";"нейтральный";"922";"420";"84";"6 лет 7 месяцев";"около 242 тысяч";"131";"305 / 65";"5941";"3003";"554";"2840";"36";"2380";"5743";"0"
"1464117340.29272";"около 36 тысяч";"81";"нейтральный";"925";"420";"84";"6 лет 7 месяцев";"около 242 тысяч";"131";"305 / 65";"5934";"3003";"554";"2838";"36";"2390";"5770";"0"
"1464160539.54353";"около 36 тысяч";"81";"нейтральный";"925";"420";"84";"6 лет 7 месяцев";"около 242 тысяч";"131";"305 / 65";"5935";"3003";"554";"2823";"36";"2381";"5729";"0"
"1464203739.53038";"около 36 тысяч";"81";"нейтральный";"925";"420";"84";"6 лет 7 месяцев";"около 242 тысяч";"131";"305 / 65";"5938";"3003";"554";"2840";"36";"2397";"5769";"0"
"1464246939.2581";"около 36 тысяч";"81";"нейтральный";"925";"420";"84";"6 лет 7 месяцев";"около 242 тысяч";"131";"305 / 65";"5940";"3003";"555";"2828";"35";"2373";"5737";"0"
"1464290139.64686";"около 36 тысяч";"81";"нейтральный";"925";"420";"84";"6 лет 7 месяцев";"около 242 тысяч";"131";"305 / 65";"5944";"3003";"555";"2853";"35";"2394";"5791";"0"
"1464333344.10785";"около 36 тысяч";"81";"нейтральный";"925";"420";"84";"6 лет 7 месяцев";"около 242 тысяч";"131";"305 / 65";"5949";"3003";"556";"2834";"35";"2384";"5755";"0"
