"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854298.84524";"около 3 тысяч";"72";"нейтральный";"836";"384";"27";"6 лет 11 месяцев";"около 165 тысяч";"136";"31 / 25";"11857";"20425";"0";"7205";"4313";"7781";"8574";"0"
"1463858154.81308";"около 3 тысяч";"72";"нейтральный";"836";"384";"27";"6 лет 11 месяцев";"около 165 тысяч";"136";"31 / 25";"11859";"20425";"0";"7208";"4313";"7786";"8581";"0"
"1463901351.55898";"около 3 тысяч";"72";"нейтральный";"836";"384";"27";"6 лет 11 месяцев";"около 165 тысяч";"136";"31 / 25";"11860";"20425";"0";"7147";"4292";"7735";"8521";"0"
"1463944552.96474";"около 3 тысяч";"72";"нейтральный";"836";"384";"27";"6 лет 11 месяцев";"около 165 тысяч";"136";"31 / 25";"11865";"20425";"0";"7206";"4318";"7813";"8585";"0"
"1463987750.21892";"около 6 тысяч";"72";"беззлобный";"838";"384";"27";"6 лет 11 месяцев";"около 165 тысяч";"137";"31 / 25";"11852";"20425";"0";"7138";"4306";"7828";"8517";"18705"
"1464030953.05248";"около 6 тысяч";"72";"нейтральный";"838";"384";"27";"6 лет 11 месяцев";"около 165 тысяч";"137";"31 / 25";"11857";"20425";"0";"7193";"4336";"7903";"8581";"0"
"1464074150.07727";"около 9 тысяч";"72";"беззлобный";"839";"384";"27";"6 лет 11 месяцев";"около 165 тысяч";"137";"31 / 25";"11846";"20425";"0";"7128";"4319";"7827";"8523";"17318"
"1464117350.56278";"около 14 тысяч";"72";"беззлобный";"839";"384";"27";"6 лет 11 месяцев";"около 165 тысяч";"137";"31 / 25";"11847";"20425";"0";"7179";"4339";"7904";"8577";"16329"
"1464160549.773";"около 7 тысяч";"72";"беззлобный";"840";"384";"27";"6 лет 11 месяцев";"около 166 тысяч";"137";"31 / 25";"11840";"20425";"0";"7086";"4300";"7817";"8485";"14672"
"1464203749.81749";"около 7 тысяч";"72";"беззлобный";"840";"384";"27";"6 лет 11 месяцев";"около 166 тысяч";"137";"31 / 25";"11849";"20425";"0";"7161";"4328";"7906";"8552";"15193"
"1464246949.53528";"около 6 тысяч";"72";"добродушный";"841";"384";"27";"6 лет 11 месяцев";"около 166 тысяч";"137";"31 / 25";"11845";"20425";"0";"7013";"4294";"7760";"8467";"13724"
"1464290149.90772";"около 6 тысяч";"72";"добродушный";"841";"384";"27";"6 лет 11 месяцев";"около 166 тысяч";"137";"31 / 25";"11850";"20425";"0";"7095";"4311";"7862";"8547";"14224"
"1464333354.35814";"около 6 тысяч";"72";"добродушный";"841";"384";"27";"6 лет 11 месяцев";"около 166 тысяч";"137";"31 / 25";"11852";"20425";"0";"7031";"4286";"7762";"8486";"14666"
