"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854339.80802";"около 4 тысяч";"71";"миролюбивый";"1006";"380";"2";"6 лет 3 месяца";"около 120 тысяч";"123";"90 / 66";"12636";"25416";"9414";"7001";"15584";"13796";"5688";"6813"
"1463858196.3405";"около 4 тысяч";"71";"миролюбивый";"1006";"380";"2";"6 лет 3 месяца";"около 120 тысяч";"123";"90 / 66";"12637";"25416";"9414";"7005";"15600";"13817";"5689";"6895"
"1463901392.43534";"около 4 тысяч";"71";"миролюбивый";"1006";"380";"2";"6 лет 3 месяца";"около 120 тысяч";"123";"90 / 66";"12638";"25416";"9414";"6950";"15395";"13679";"5663";"7326"
"1463944593.89168";"около 4 тысяч";"71";"миролюбивый";"1006";"380";"2";"6 лет 3 месяца";"около 120 тысяч";"123";"90 / 66";"12643";"25416";"9419";"7002";"15539";"13796";"5698";"8020"
"1463987791.11013";"около 2 тысяч";"71";"миролюбивый";"1014";"380";"3";"6 лет 3 месяца";"около 120 тысяч";"123";"90 / 66";"12590";"25416";"9421";"6925";"15383";"13556";"5651";"7937"
"1464030994.0351";"около 15 сотен";"71";"миролюбивый";"1014";"380";"3";"6 лет 3 месяца";"около 121 тысяч";"123";"90 / 66";"12583";"25416";"9419";"6973";"15535";"13627";"5661";"7723"
"1464074191.07809";"около 3 тысяч";"71";"миролюбивый";"1014";"380";"3";"6 лет 3 месяца";"около 121 тысяч";"123";"90 / 66";"12583";"25416";"9422";"6947";"15380";"13537";"5631";"8167"
"1464117391.50946";"около 4 тысяч";"71";"миролюбивый";"1015";"380";"3";"6 лет 3 месяца";"около 121 тысяч";"123";"90 / 66";"12575";"25416";"9433";"6993";"15512";"13679";"5664";"5646"
"1464160590.73575";"около 8 сотен";"71";"миролюбивый";"1015";"380";"3";"6 лет 4 месяца";"около 121 тысяч";"123";"90 / 66";"12566";"25416";"9435";"6841";"15285";"13480";"5619";"6104"
"1464203790.7716";"около 16 сотен";"71";"миролюбивый";"1017";"380";"6 лет 4 месяца";"около 121 тысяч";"123";"90 / 66";"12544";"25416";"9437";"6947";"15469";"13599";"5643";"6737"
"1464246990.41233";"около сотни";"71";"миролюбивый";"1018";"380";"6 лет 4 месяца";"около 121 тысяч";"124";"90 / 66";"12541";"25416";"9439";"6826";"15287";"13683";"5599";"7155"
"1464290190.87773";"около 3 тысяч";"71";"миролюбивый";"1018";"380";"6 лет 4 месяца";"около 121 тысяч";"125";"91 / 66";"12533";"25416";"9178";"6941";"15410";"14110";"5653";"7439"
"1464333395.31738";"около 10 тысяч";"71";"миролюбивый";"1018";"380";"6 лет 4 месяца";"около 121 тысяч";"125";"91 / 66";"12528";"25416";"9182";"6875";"15229";"13923";"5613";"8010"
