"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854355.20273";"около 2 тысяч";"71";"добродушный";"813";"380";"22";"5 лет 12 месяцев";"около 167 тысяч";"159";"22 / 34";"12420";"18763";"0";"8460";"6097";"11397";"8643";"11175"
"1463858211.69";"около 2 тысяч";"71";"добродушный";"813";"380";"22";"5 лет 12 месяцев";"около 167 тысяч";"159";"22 / 34";"12421";"18763";"0";"8466";"6100";"11406";"8650";"11256"
"1463901407.76342";"около 2 тысяч";"71";"добродушный";"813";"380";"22";"5 лет 12 месяцев";"около 167 тысяч";"159";"22 / 34";"12426";"18763";"0";"8388";"6065";"11325";"8590";"11638"
"1463944609.23958";"около 7 тысяч";"71";"добродушный";"815";"380";"23";"5 лет 12 месяцев";"около 167 тысяч";"159";"22 / 34";"12405";"18763";"0";"8489";"5705";"11376";"8639";"10726"
"1463987806.45254";"около 2 тысяч";"71";"добродушный";"821";"380";"23";"5 лет 12 месяцев";"около 167 тысяч";"159";"22 / 34";"12357";"18763";"0";"8395";"5685";"11203";"8554";"10105"
"1464031009.41958";"около 3 тысяч";"71";"добродушный";"822";"380";"23";"5 лет 12 месяцев";"около 167 тысяч";"160";"22 / 34";"12361";"18763";"0";"8454";"5718";"11505";"8619";"10717"
"1464074206.41174";"около 4 тысяч";"71";"добродушный";"822";"380";"23";"5 лет 12 месяцев";"около 167 тысяч";"160";"22 / 34";"12363";"18763";"0";"8399";"5691";"11392";"8565";"11114"
"1464117406.86612";"около 4 тысяч";"71";"добродушный";"822";"380";"23";"5 лет 12 месяцев";"около 167 тысяч";"160";"22 / 34";"12366";"18763";"0";"8473";"5717";"11510";"8621";"11678"
"1464160606.1092";"около 4 тысяч";"71";"добродушный";"822";"380";"23";"5 лет 12 месяцев";"около 167 тысяч";"160";"22 / 34";"12372";"18763";"0";"8369";"5664";"11361";"8533";"12063"
"1464203806.12663";"около 5 тысяч";"71";"добродушный";"825";"380";"23";"5 лет 12 месяцев";"около 168 тысяч";"160";"22 / 34";"12353";"18763";"0";"8456";"5704";"11426";"8589";"10121"
"1464247005.8079";"около 5 тысяч";"71";"добродушный";"825";"380";"23";"5 лет 12 месяцев";"около 168 тысяч";"160";"22 / 34";"12355";"18763";"0";"8344";"5648";"11269";"8506";"10498"
"1464290206.20846";"около 5 тысяч";"71";"добродушный";"825";"380";"23";"5 лет 12 месяцев";"около 168 тысяч";"160";"22 / 34";"12363";"18763";"0";"8442";"5682";"11423";"8588";"11016"
"1464333410.67918";"около 5 тысяч";"71";"добродушный";"825";"380";"23";"5 лет 12 месяцев";"около 168 тысяч";"160";"22 / 34";"12366";"18763";"0";"8360";"5653";"11298";"8525";"11501"
