"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854385.9907";"ни одного";"69";"добродушный";"836";"372";"10";"4 года 11 месяцев";"около 155 тысяч";"128";"3 / 7";"13758";"24807";"0";"8004";"14704";"7795";"8101";"11468"
"1463858242.76523";"ни одного";"69";"добродушный";"836";"372";"10";"4 года 11 месяцев";"около 155 тысяч";"128";"3 / 7";"13759";"24807";"0";"8010";"14717";"7801";"8107";"11559"
"1463901438.46293";"ни одного";"69";"добродушный";"836";"372";"10";"4 года 11 месяцев";"около 155 тысяч";"128";"3 / 7";"13760";"24807";"0";"7936";"14537";"7750";"8051";"11951"
"1463944639.925";"около 6 сотен";"69";"добродушный";"836";"372";"10";"4 года 11 месяцев";"около 155 тысяч";"128";"3 / 7";"13761";"24807";"0";"8008";"14643";"7829";"8113";"12504"
"1463987837.12707";"около 10 тысяч";"69";"добродушный";"836";"372";"10";"4 года 11 месяцев";"около 155 тысяч";"128";"3 / 7";"13754";"24807";"0";"7916";"14503";"7710";"8045";"11159"
"1464031040.14055";"около 3 тысяч";"69";"добродушный";"836";"372";"10";"4 года 11 месяцев";"около 155 тысяч";"128";"3 / 7";"13734";"24807";"0";"8011";"14614";"7776";"8107";"11728"
"1464074237.13773";"около 6 тысяч";"70";"добродушный";"837";"376";"10";"4 года 11 месяцев";"около 155 тысяч";"128";"3 / 7";"13726";"24807";"0";"7943";"14476";"7693";"8062";"10632"
"1464117437.60515";"около 12 тысяч";"70";"добродушный";"837";"376";"10";"4 года 11 месяцев";"около 156 тысяч";"128";"3 / 7";"13728";"24807";"0";"8010";"14572";"7779";"8115";"10222"
"1464160636.78619";"около 8 тысяч";"70";"добродушный";"837";"376";"10";"4 года 11 месяцев";"около 156 тысяч";"128";"3 / 7";"13725";"24807";"0";"7904";"14374";"7666";"8032";"9803"
"1464203836.82959";"около 8 тысяч";"70";"добродушный";"837";"376";"10";"4 года 11 месяцев";"около 156 тысяч";"128";"3 / 7";"13736";"24807";"0";"7990";"14527";"7755";"8097";"10404"
"1464247036.51352";"около 6 тысяч";"70";"миролюбивый";"838";"376";"10";"4 года 11 месяцев";"около 156 тысяч";"128";"3 / 7";"13723";"24807";"0";"7861";"14342";"7629";"8015";"9434"
"1464290236.9464";"около 9 тысяч";"70";"миролюбивый";"838";"376";"10";"4 года 11 месяцев";"около 156 тысяч";"128";"3 / 7";"13731";"24807";"0";"7960";"14421";"7711";"8082";"10016"
"1464333441.384";"около 5 тысяч";"70";"миролюбивый";"846";"376";"10";"4 года 11 месяцев";"около 156 тысяч";"128";"3 / 7";"13716";"24807";"0";"7889";"14242";"7601";"8026";"10248"
