"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854370.62381";"около 6 тысяч";"72";"добродушный";"1005";"384";"1";"3 года 7 месяцев";"около 191 тысяч";"163";"16 / 16";"11308";"20687";"0";"6481";"5364";"8547";"7015";"11469"
"1463858227.03747";"около 9 тысяч";"72";"добродушный";"1005";"384";"1";"3 года 7 месяцев";"около 191 тысяч";"163";"16 / 16";"11308";"20687";"0";"6485";"5364";"8553";"7019";"11560"
"1463901423.15303";"около 8 тысяч";"72";"добродушный";"1005";"384";"1";"3 года 7 месяцев";"около 191 тысяч";"163";"16 / 16";"11307";"20687";"0";"6421";"5336";"8467";"6976";"11952"
"1463944624.59394";"ни одного";"72";"добродушный";"1006";"384";"2";"3 года 7 месяцев";"около 191 тысяч";"164";"16 / 16";"11299";"20687";"0";"6526";"5358";"8678";"7017";"10750"
"1463987821.82039";"ни одного";"72";"добродушный";"1006";"384";"2";"3 года 7 месяцев";"около 191 тысяч";"164";"16 / 16";"11298";"20687";"0";"6465";"5340";"8559";"6979";"11160"
"1464031024.80882";"около 4 тысяч";"72";"добродушный";"1006";"384";"2";"3 года 7 месяцев";"около 191 тысяч";"164";"16 / 16";"11300";"20687";"0";"6518";"5373";"8628";"7032";"10749"
"1464074221.77242";"около 4 тысяч";"72";"добродушный";"1006";"384";"2";"3 года 7 месяцев";"около 191 тысяч";"164";"16 / 16";"11298";"20687";"0";"6480";"5354";"8563";"6991";"9601"
"1464117422.23599";"около 4 тысяч";"72";"миролюбивый";"1007";"384";"3";"3 года 7 месяцев";"около 191 тысяч";"164";"16 / 16";"11295";"20687";"0";"6512";"5383";"8647";"7020";"9115"
"1464160621.44438";"около 2 тысяч";"72";"миролюбивый";"1008";"384";"3";"3 года 7 месяцев";"около 191 тысяч";"164";"16 / 16";"11295";"20687";"0";"6421";"5341";"8521";"6954";"8127"
"1464203821.46636";"около 11 тысяч";"72";"миролюбивый";"1008";"384";"3";"3 года 7 месяцев";"около 192 тысяч";"164";"16 / 16";"11296";"20687";"0";"6486";"5384";"8635";"7004";"7904"
"1464247021.14764";"около 4 тысяч";"72";"миролюбивый";"1008";"384";"3";"3 года 7 месяцев";"около 192 тысяч";"164";"16 / 16";"11296";"20687";"0";"6415";"5339";"8486";"6946";"8321"
"1464290221.60098";"около 4 тысяч";"72";"миролюбивый";"1008";"384";"3";"3 года 7 месяцев";"около 192 тысяч";"164";"16 / 16";"11302";"20687";"0";"6485";"5365";"8610";"7012";"8897"
"1464333426.01694";"около 3 тысяч";"72";"миролюбивый";"1010";"384";"3";"3 года 7 месяцев";"около 192 тысяч";"164";"16 / 16";"11284";"20687";"0";"6429";"5331";"8479";"6955";"8312"
