"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854437.69501";"около 12 тысяч";"66";"беззлобный";"814";"360";"9";"2 года 7 месяцев";"около 126 тысяч";"114";"39 / 13";"17490";"21265";"16635";"10966";"15814";"9950";"8416";"17641"
"1463858294.15396";"около 12 тысяч";"66";"беззлобный";"814";"360";"9";"2 года 7 месяцев";"около 126 тысяч";"114";"39 / 13";"17492";"21265";"16636";"10977";"15829";"9961";"8422";"17710"
"1463901489.5171";"около 12 тысяч";"66";"беззлобный";"814";"360";"9";"2 года 7 месяцев";"около 126 тысяч";"114";"39 / 13";"17498";"21265";"16639";"10868";"15610";"9889";"8366";"18034"
"1463944691.10067";"около 12 тысяч";"66";"беззлобный";"816";"360";"9";"2 года 7 месяцев";"около 126 тысяч";"114";"39 / 13";"17477";"21265";"16647";"10979";"15741";"9958";"8427";"18548"
"1463987888.26325";"около 12 тысяч";"66";"нейтральный";"816";"360";"9";"2 года 7 месяцев";"около 126 тысяч";"114";"39 / 13";"17487";"21265";"16647";"10840";"15571";"9812";"8360";"0"
"1464031091.37077";"ни одного";"66";"нейтральный";"816";"360";"10";"2 года 7 месяцев";"около 126 тысяч";"115";"39 / 13";"17494";"21265";"16652";"10959";"14903";"10135";"8420";"0"
"1464074288.26938";"около 7 десятков";"66";"нейтральный";"816";"360";"10";"2 года 7 месяцев";"около 126 тысяч";"115";"39 / 13";"17498";"21265";"16651";"10859";"14766";"10066";"8371";"0"
"1464117488.72881";"около 9 тысяч";"66";"нейтральный";"818";"360";"10";"2 года 7 месяцев";"около 126 тысяч";"115";"39 / 13";"17485";"21265";"16659";"11025";"14859";"10147";"8420";"0"
"1464160687.89512";"около 2 тысяч";"66";"нейтральный";"818";"360";"10";"2 года 7 месяцев";"около 126 тысяч";"115";"39 / 13";"17488";"21265";"16659";"10873";"14654";"10003";"8331";"0"
"1464203887.97567";"около 4 тысяч";"66";"нейтральный";"826";"360";"10";"2 года 7 месяцев";"около 126 тысяч";"115";"39 / 13";"17474";"21265";"16662";"10990";"14807";"10111";"8392";"0"
"1464247087.64187";"около 19 сотен";"66";"нейтральный";"826";"360";"10";"2 года 7 месяцев";"около 126 тысяч";"115";"39 / 13";"17471";"21265";"16667";"10878";"14615";"9928";"8306";"0"
"1464290288.09452";"около 6 тысяч";"66";"нейтральный";"828";"360";"10";"2 года 7 месяцев";"около 126 тысяч";"115";"39 / 13";"17463";"21265";"16675";"11005";"14696";"10047";"8376";"0"
"1464333492.49688";"около 7 тысяч";"66";"нейтральный";"828";"360";"10";"2 года 7 месяцев";"около 126 тысяч";"115";"39 / 13";"17468";"21265";"16677";"10882";"14510";"9943";"8310";"0"
