"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854478.72318";"около 7 тысяч";"69";"миролюбивый";"912";"372";"31";"2 года 12 месяцев";"около 164 тысяч";"135";"17 / 13";"13905";"20777";"0";"8944";"2617";"7692";"8131";"6566"
"1463858335.70456";"около 7 тысяч";"69";"миролюбивый";"912";"372";"31";"2 года 12 месяцев";"около 164 тысяч";"135";"17 / 13";"13905";"20777";"0";"8952";"2618";"7696";"8137";"6660"
"1463901530.41836";"около 7 тысяч";"69";"миролюбивый";"912";"372";"31";"2 года 12 месяцев";"около 164 тысяч";"135";"17 / 13";"13910";"20777";"0";"8880";"2601";"7645";"8078";"7095"
"1463944732.02894";"около 4 тысяч";"69";"миролюбивый";"914";"372";"31";"2 года 12 месяцев";"около 165 тысяч";"135";"17 / 13";"13884";"20777";"0";"8992";"2614";"7687";"8103";"7757"
"1463987929.20865";"ни одного";"69";"миролюбивый";"914";"372";"31";"2 года 12 месяцев";"около 165 тысяч";"136";"17 / 13";"13887";"20777";"0";"8876";"2605";"7728";"8036";"8244"
"1464031132.37436";"ни одного";"69";"миролюбивый";"914";"372";"31";"2 года 12 месяцев";"около 165 тысяч";"136";"17 / 13";"13891";"20777";"0";"8949";"2617";"7788";"8098";"8908"
"1464074329.22401";"около 5 сотен";"69";"миролюбивый";"915";"372";"31";"2 года 12 месяцев";"около 165 тысяч";"136";"17 / 13";"13890";"20777";"0";"8885";"2603";"7731";"8056";"7925"
"1464117529.89343";"около 16 тысяч";"69";"добродушный";"916";"372";"31";"2 года 12 месяцев";"около 165 тысяч";"136";"17 / 13";"13885";"20777";"0";"8970";"2617";"7814";"8098";"9682"
"1464160728.86901";"около 4 тысяч";"69";"добродушный";"916";"372";"31";"2 года 12 месяцев";"около 165 тысяч";"136";"17 / 13";"13854";"20777";"0";"8869";"2593";"7697";"8005";"10114"
"1464203928.96606";"около 6 тысяч";"69";"миролюбивый";"917";"372";"31";"2 года 12 месяцев";"около 165 тысяч";"136";"17 / 13";"13842";"20777";"0";"8974";"2610";"7770";"8071";"8531"
"1464247128.60902";"около 6 тысяч";"69";"миролюбивый";"917";"372";"31";"2 года 12 месяцев";"около 165 тысяч";"136";"17 / 13";"13846";"20777";"0";"8848";"2587";"7654";"7997";"8890"
"1464290329.05778";"около 6 тысяч";"69";"миролюбивый";"919";"372";"31";"2 года 12 месяцев";"около 165 тысяч";"136";"17 / 13";"13811";"20777";"0";"8918";"2599";"7741";"8036";"7465"
"1464333533.50331";"около 8 тысяч";"69";"миролюбивый";"919";"372";"31";"2 года 12 месяцев";"около 165 тысяч";"136";"17 / 13";"13807";"20777";"0";"8840";"2589";"7634";"7984";"7170"
