"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854483.85467";"около 9 тысяч";"70";"нейтральный";"910";"376";"";"3 года 4 месяца";"около 166 тысяч";"160";"17 / 17";"13294";"19162";"0";"9418";"0";"11840";"8440";"0"
"1463858341.01536";"около 9 тысяч";"70";"нейтральный";"910";"376";"";"3 года 4 месяца";"около 166 тысяч";"160";"17 / 17";"13295";"19162";"0";"9426";"0";"11852";"8446";"0"
"1463901535.52852";"десяток";"70";"нейтральный";"914";"376";"";"3 года 4 месяца";"около 166 тысяч";"161";"17 / 17";"13246";"19162";"0";"9357";"0";"11847";"8353";"0"
"1463944737.13934";"около 5 тысяч";"70";"нейтральный";"915";"376";"";"3 года 4 месяца";"около 166 тысяч";"161";"17 / 17";"13251";"19162";"0";"9453";"0";"11946";"8413";"0"
"1463987934.3214";"около 5 тысяч";"70";"нейтральный";"915";"376";"";"3 года 4 месяца";"около 166 тысяч";"161";"17 / 17";"13257";"19162";"0";"9331";"0";"11789";"8340";"0"
"1464031137.49428";"около 5 тысяч";"70";"нейтральный";"915";"376";"";"3 года 4 месяца";"около 166 тысяч";"161";"17 / 17";"13263";"19162";"0";"9415";"0";"11878";"8403";"0"
"1464074334.3317";"около 5 тысяч";"70";"нейтральный";"915";"376";"";"3 года 5 месяцев";"около 166 тысяч";"161";"17 / 17";"13265";"19162";"0";"9343";"0";"11791";"8351";"0"
"1464117535.00987";"около сотни";"70";"нейтральный";"918";"376";"";"3 года 5 месяцев";"около 166 тысяч";"162";"17 / 17";"13240";"19162";"0";"9408";"0";"12092";"8406";"0"
"1464160733.97373";"около 4 тысяч";"70";"нейтральный";"919";"376";"";"3 года 5 месяцев";"около 167 тысяч";"162";"17 / 17";"13242";"19162";"0";"9305";"0";"11936";"8323";"0"
"1464203934.07925";"около 5 тысяч";"70";"нейтральный";"919";"376";"";"3 года 5 месяцев";"около 167 тысяч";"162";"17 / 17";"13242";"19162";"0";"9404";"0";"12024";"8383";"0"
"1464247133.71626";"около 7 тысяч";"70";"нейтральный";"919";"376";"";"3 года 5 месяцев";"около 167 тысяч";"162";"17 / 17";"13240";"19162";"0";"9272";"0";"11844";"8299";"0"
"1464290334.1736";"около 7 тысяч";"70";"нейтральный";"919";"376";"";"3 года 5 месяцев";"около 167 тысяч";"162";"17 / 17";"13241";"19162";"0";"9387";"0";"12014";"8374";"0"
"1464333538.61157";"около 7 тысяч";"70";"нейтральный";"919";"376";"";"3 года 5 месяцев";"около 167 тысяч";"162";"17 / 17";"13247";"19162";"0";"9304";"0";"11895";"8308";"0"
