"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854494.06605";"около 9 сотен";"51";"миролюбивый";"9";"300";"8";"1 год 3 месяца";"около 67 тысяч";"95";"1 / 0";"37115";"0";"18305";"17233";"28076";"18400";"7846"
"1463858351.22466";"около 3 тысяч";"51";"миролюбивый";"9";"300";"8";"1 год 3 месяца";"около 67 тысяч";"95";"1 / 0";"37115";"0";"18322";"17252";"28100";"18415";"7919"
"1463901545.74853";"около 5 тысяч";"51";"миролюбивый";"10";"300";"8";"1 год 4 месяца";"около 67 тысяч";"95";"1 / 0";"37115";"0";"18115";"17002";"27669";"18211";"5562"
"1463944747.37545";"около 5 тысяч";"51";"миролюбивый";"10";"300";"8";"1 год 4 месяца";"около 67 тысяч";"95";"1 / 0";"37115";"0";"18344";"17125";"28043";"18427";"6233"
"1463987944.55548";"около 4 тысяч";"51";"миролюбивый";"12";"300";"8";"1 год 4 месяца";"около 67 тысяч";"95";"1 / 0";"37115";"0";"18101";"16908";"27582";"18203";"6697"
"1464031147.72585";"около 4 тысяч";"51";"миролюбивый";"12";"300";"8";"1 год 4 месяца";"около 67 тысяч";"95";"1 / 0";"37115";"0";"18334";"17062";"27916";"18422";"7361"
"1464074344.54644";"около 4 тысяч";"51";"миролюбивый";"13";"300";"9";"1 год 4 месяца";"около 67 тысяч";"95";"1 / 0";"37115";"0";"18040";"16078";"27482";"18173";"6667"
"1464117545.2338";"около тысячи";"51";"миролюбивый";"13";"300";"9";"1 год 4 месяца";"около 67 тысяч";"95";"1 / 0";"37115";"0";"18303";"16187";"27796";"18418";"6153"
"1464160744.35913";"около тысячи";"51";"миролюбивый";"13";"300";"9";"1 год 4 месяца";"около 67 тысяч";"95";"1 / 0";"37115";"0";"18049";"15945";"27406";"18173";"6609"
"1464203944.29864";"около 2 тысяч";"52";"миролюбивый";"14";"304";"9";"1 год 4 месяца";"около 68 тысяч";"95";"1 / 0";"37115";"0";"18251";"16108";"27722";"18390";"6080"
"1464247143.94197";"около 2 тысяч";"52";"миролюбивый";"14";"304";"9";"1 год 4 месяца";"около 68 тысяч";"95";"1 / 0";"37115";"0";"17983";"15889";"27310";"18123";"6477"
"1464290344.38842";"около тысячи";"52";"миролюбивый";"15";"304";"9";"1 год 4 месяца";"около 68 тысяч";"96";"1 / 0";"37115";"0";"18238";"15976";"28124";"18344";"7061"
"1464333548.8619";"около 3 тысяч";"52";"миролюбивый";"15";"304";"9";"1 год 4 месяца";"около 68 тысяч";"96";"1 / 0";"37115";"0";"18087";"15775";"27647";"18120";"5859"
