"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854504.3937";"около 2 тысяч";"51";"беззлобный";"8";"300";"";"2 года 4 месяца";"около 67 тысяч";"111";"0 / 0";"37106";"0";"17332";"0";"34353";"18520";"16793"
"1463858361.45864";"около 3 тысяч";"51";"беззлобный";"8";"300";"";"2 года 4 месяца";"около 67 тысяч";"111";"0 / 0";"37106";"0";"17346";"0";"34389";"18531";"16861"
"1463901555.9675";"около 3 тысяч";"51";"беззлобный";"8";"300";"";"2 года 4 месяца";"около 67 тысяч";"111";"0 / 0";"37106";"0";"17136";"0";"33831";"18330";"17167"
"1463944757.60128";"около 3 тысяч";"51";"беззлобный";"8";"300";"";"2 года 4 месяца";"около 67 тысяч";"111";"0 / 0";"37106";"0";"17357";"0";"34311";"18545";"17675"
"1463987954.79559";"около сотни";"51";"беззлобный";"11";"300";"";"2 года 4 месяца";"около 67 тысяч";"111";"0 / 0";"37106";"0";"17050";"0";"33704";"18297";"17520"
"1464031157.963";"около 5 тысяч";"51";"беззлобный";"12";"300";"";"2 года 4 месяца";"около 67 тысяч";"111";"0 / 0";"37106";"0";"17234";"0";"34207";"18498";"17010"
"1464074354.78315";"около 5 тысяч";"51";"беззлобный";"12";"300";"";"2 года 4 месяца";"около 67 тысяч";"111";"0 / 0";"37106";"0";"17040";"0";"33634";"18298";"17269"
"1464117555.54785";"около 5 тысяч";"51";"беззлобный";"12";"300";"";"2 года 4 месяца";"около 67 тысяч";"111";"0 / 0";"37106";"0";"17290";"0";"34141";"18542";"17818"
"1464160754.57866";"около 5 тысяч";"51";"беззлобный";"12";"300";"";"2 года 4 месяца";"около 67 тысяч";"111";"0 / 0";"37106";"0";"17042";"0";"33594";"18300";"18076"
"1464203954.53323";"около 5 тысяч";"51";"беззлобный";"12";"300";"";"2 года 4 месяца";"около 67 тысяч";"111";"0 / 0";"37106";"0";"17285";"0";"34117";"18554";"18611"
"1464247154.17534";"около тысячи";"51";"беззлобный";"14";"300";"";"2 года 4 месяца";"около 67 тысяч";"112";"0 / 0";"37106";"0";"16975";"0";"33735";"18266";"18891"
"1464290354.62346";"около 19 сотен";"51";"беззлобный";"15";"300";"";"2 года 4 месяца";"около 67 тысяч";"112";"0 / 0";"37106";"0";"17201";"0";"34253";"18497";"19429"
"1464333559.10413";"около 19 сотен";"51";"нейтральный";"15";"300";"";"2 года 4 месяца";"около 67 тысяч";"112";"0 / 0";"37106";"0";"16998";"0";"33796";"18298";"0"
