"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854519.73504";"около 7 тысяч";"81";"агрессивный";"989";"420";"";"5 лет 11 месяцев";"около 265 тысяч";"210";"72 / 83";"5843";"8273";"18028";"4498";"0";"7098";"5483";"3220"
"1463858376.81625";"около 7 тысяч";"81";"агрессивный";"989";"420";"";"5 лет 11 месяцев";"около 265 тысяч";"210";"72 / 83";"5843";"8273";"18027";"4499";"0";"7104";"5484";"3241"
"1463901571.31036";"около 7 тысяч";"81";"агрессивный";"989";"420";"";"5 лет 11 месяцев";"около 265 тысяч";"210";"72 / 83";"5846";"8273";"18026";"4473";"0";"7045";"5460";"3370"
"1463944772.94653";"около 12 тысяч";"81";"агрессивный";"991";"420";"";"5 лет 11 месяцев";"около 265 тысяч";"210";"72 / 83";"5835";"8273";"18034";"4456";"0";"7099";"5477";"3231"
"1463987970.11594";"около 10 тысяч";"81";"агрессивный";"991";"420";"";"5 лет 11 месяцев";"около 265 тысяч";"210";"72 / 83";"5838";"8273";"18037";"4431";"0";"6992";"5440";"3375"
"1464031173.31232";"около 10 тысяч";"81";"агрессивный";"991";"420";"";"5 лет 11 месяцев";"около 265 тысяч";"210";"72 / 83";"5844";"8273";"18045";"4455";"0";"7051";"5473";"3572"
"1464074370.11106";"около 9 тысяч";"81";"агрессивный";"992";"420";"";"5 лет 11 месяцев";"около 265 тысяч";"210";"72 / 83";"5840";"8273";"18042";"4413";"0";"6976";"5428";"3292"
"1464117570.86741";"около 9 тысяч";"81";"агрессивный";"992";"420";"";"5 лет 11 месяцев";"около 265 тысяч";"210";"72 / 83";"5840";"8273";"18048";"4438";"0";"7053";"5460";"3493"
"1464160769.89559";"около 4 тысяч";"81";"агрессивный";"993";"420";"";"5 лет 11 месяцев";"около 266 тысяч";"210";"72 / 83";"5828";"8273";"18049";"4412";"0";"6965";"5417";"3228"
"1464203969.87065";"около 6 тысяч";"81";"озлобленный";"995";"420";"";"5 лет 11 месяцев";"около 266 тысяч";"210";"72 / 83";"5828";"8273";"18058";"4453";"0";"7029";"5446";"4347"
"1464247169.5002";"около 3 тысяч";"81";"озлобленный";"995";"420";"";"5 лет 11 месяцев";"около 266 тысяч";"210";"72 / 83";"5815";"8273";"18063";"4417";"0";"6936";"5411";"4435"
"1464290369.96713";"около 6 тысяч";"81";"озлобленный";"996";"420";"";"5 лет 11 месяцев";"около 266 тысяч";"211";"72 / 83";"5803";"8273";"18068";"4468";"0";"7100";"5435";"4983"
"1464333574.43327";"около 2 тысяч";"81";"озлобленный";"996";"420";"";"5 лет 11 месяцев";"около 266 тысяч";"211";"72 / 83";"5803";"8273";"18071";"4443";"0";"6992";"5399";"4336"
