"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854596.57503";"около 11 тысяч";"53";"озлобленный";"8";"308";"";"2 года 11 месяцев";"около 74 тысяч";"126";"18 / 23";"37121";"0";"17422";"0";"34882";"18486";"4038"
"1463858462.59875";"около 11 тысяч";"53";"озлобленный";"8";"308";"";"2 года 11 месяцев";"около 74 тысяч";"126";"18 / 23";"37121";"0";"17438";"0";"34917";"18499";"4058"
"1463901648.04418";"около 3 тысяч";"53";"агрессивный";"8";"308";"";"2 года 11 месяцев";"около 75 тысяч";"126";"18 / 23";"37121";"0";"17187";"0";"34290";"18298";"3728"
"1463944849.72745";"около 3 тысяч";"53";"озлобленный";"8";"308";"";"2 года 11 месяцев";"около 75 тысяч";"126";"18 / 23";"37121";"0";"17398";"0";"34807";"18514";"3906"
"1463988046.84866";"около 3 тысяч";"53";"озлобленный";"8";"308";"";"2 года 11 месяцев";"около 75 тысяч";"126";"18 / 23";"37121";"0";"17177";"0";"34296";"18311";"4046"
"1464031250.22648";"около 3 десятков";"53";"агрессивный";"9";"308";"";"2 года 11 месяцев";"около 75 тысяч";"127";"18 / 23";"37121";"0";"17415";"0";"34984";"18506";"3372"
"1464074446.84801";"около 3 десятков";"53";"агрессивный";"9";"308";"";"2 года 11 месяцев";"около 75 тысяч";"127";"18 / 23";"37121";"0";"17226";"0";"34428";"18305";"3472"
"1464117647.71014";"около 4 тысяч";"53";"агрессивный";"11";"308";"";"2 года 11 месяцев";"около 75 тысяч";"127";"18 / 23";"37121";"0";"17484";"0";"34899";"18515";"3280"
"1464160847.77065";"около 4 тысяч";"53";"агрессивный";"11";"308";"";"2 года 11 месяцев";"около 75 тысяч";"127";"18 / 23";"37121";"0";"17223";"0";"34325";"18270";"3404"
"1464204046.55917";"около 4 тысяч";"53";"агрессивный";"13";"308";"";"2 года 11 месяцев";"около 75 тысяч";"127";"18 / 23";"37121";"0";"17388";"0";"34802";"18456";"3279"
"1464247246.30912";"около 3 сотен";"53";"агрессивный";"13";"308";"";"2 года 11 месяцев";"около 75 тысяч";"127";"18 / 23";"37121";"0";"17143";"0";"34160";"18155";"3389"
"1464290446.72872";"около 2 тысяч";"53";"агрессивный";"14";"308";"";"2 года 11 месяцев";"около 75 тысяч";"127";"18 / 23";"37121";"0";"17386";"0";"34616";"18362";"3123"
"1464333651.1979";"около 2 тысяч";"53";"агрессивный";"14";"308";"";"2 года 11 месяцев";"около 75 тысяч";"127";"18 / 23";"37121";"0";"17180";"0";"34143";"18161";"3287"
