"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463854637.70895";"около 6 тысяч";"75";"озлобленный";"1000";"396";"31";"0";"0";"0"
"1463858503.7174";"около 6 тысяч";"75";"озлобленный";"1000";"396";"31";"0";"0";"0"
"1463901689.12901";"около 6 тысяч";"75";"озлобленный";"1000";"396";"31";"0";"0";"0"
"1463944890.8672";"около 6 тысяч";"75";"агрессивный";"1002";"396";"0";"0";"0"
"1463988088.01401";"около 3 тысяч";"75";"агрессивный";"1002";"396";"0";"0";"0"
"1464031291.37208";"около 4 тысяч";"75";"агрессивный";"1003";"396";"0";"0";"0"
"1464074487.92802";"около 4 тысяч";"75";"агрессивный";"1004";"396";"0";"0";"0"
"1464117688.76859";"около 7 тысяч";"75";"агрессивный";"1004";"396";"1";"0";"0";"0"
"1464160888.81389";"около 6 тысяч";"75";"агрессивный";"1005";"396";"2";"0";"0";"0"
"1464204087.75521";"около 11 тысяч";"75";"агрессивный";"1006";"396";"2";"0";"0";"0"
"1464247287.42028";"около 9 тысяч";"75";"агрессивный";"1006";"396";"2";"0";"0";"0"
"1464290487.91044";"около 6 тысяч";"75";"агрессивный";"1007";"396";"3";"0";"0";"0"
"1464333692.61024";"около 12 тысяч";"75";"агрессивный";"1015";"396";"3";"0";"0";"0"
