"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854647.95499";"около 4 тысяч";"84";"нейтральный";"913";"432";"";"5 лет 3 месяца";"около 260 тысяч";"134";"166 / 131";"4637";"6126";"3808";"3802";"0";"1992";"3329";"0"
"1463858513.94375";"около 4 тысяч";"84";"нейтральный";"913";"432";"";"5 лет 3 месяца";"около 260 тысяч";"134";"166 / 131";"4637";"6126";"3809";"3805";"0";"1994";"3330";"0"
"1463901699.3491";"около 4 тысяч";"84";"нейтральный";"913";"432";"";"5 лет 3 месяца";"около 260 тысяч";"134";"166 / 131";"4637";"6126";"3813";"3779";"0";"1991";"3326";"0"
"1463944901.14649";"около 4 тысяч";"84";"нейтральный";"913";"432";"";"5 лет 3 месяца";"около 260 тысяч";"134";"166 / 131";"4638";"6126";"3813";"3801";"0";"2002";"3333";"0"
"1463988098.25248";"около 4 тысяч";"84";"нейтральный";"913";"432";"";"5 лет 3 месяца";"около 260 тысяч";"134";"166 / 131";"4642";"6126";"3815";"3772";"0";"1987";"3319";"0"
"1464031301.61775";"около 4 тысяч";"84";"нейтральный";"913";"432";"";"5 лет 3 месяца";"около 260 тысяч";"134";"166 / 131";"4645";"6126";"3818";"3807";"0";"1998";"3344";"0"
"1464074498.15027";"около 4 тысяч";"84";"нейтральный";"913";"432";"";"5 лет 3 месяца";"около 260 тысяч";"134";"166 / 131";"4646";"6126";"3820";"3787";"0";"1985";"3333";"0"
"1464117699";"около 4 тысяч";"84";"нейтральный";"913";"432";"";"5 лет 3 месяца";"около 260 тысяч";"134";"166 / 131";"4649";"6126";"3820";"3812";"0";"2000";"3348";"0"
"1464160899.03074";"около 6 тысяч";"84";"нейтральный";"918";"432";"";"5 лет 3 месяца";"около 261 тысяч";"135";"166 / 131";"4639";"6126";"3819";"3788";"0";"2032";"3308";"0"
"1464204097.97905";"около 6 тысяч";"84";"нейтральный";"918";"432";"";"5 лет 3 месяца";"около 261 тысяч";"135";"166 / 131";"4643";"6126";"3821";"3817";"0";"2045";"3327";"0"
"1464247297.65934";"около 9 тысяч";"84";"нейтральный";"919";"432";"";"5 лет 4 месяца";"около 261 тысяч";"135";"166 / 131";"4637";"6126";"3819";"3780";"0";"2020";"3307";"0"
"1464290498.14791";"около 10 тысяч";"84";"нейтральный";"921";"432";"";"5 лет 4 месяца";"около 261 тысяч";"135";"166 / 131";"4640";"6126";"3820";"3838";"0";"2029";"3324";"0"
"1464333702.85101";"около 7 тысяч";"84";"нейтральный";"921";"432";"";"5 лет 4 месяца";"около 261 тысяч";"135";"166 / 131";"4628";"6126";"3823";"3821";"0";"2017";"3299";"0"
