"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854663.30316";"около 2 тысяч";"49";"миролюбивый";"2";"292";"7";"10 месяцев";"около 60 тысяч";"61";"12 / 3";"37292";"0";"18117";"18875";"13235";"18570";"3791"
"1463858529.25563";"около 4 тысяч";"49";"добродетельный";"2";"292";"7";"10 месяцев";"около 60 тысяч";"61";"12 / 3";"37292";"0";"18133";"18896";"13249";"18587";"2601"
"1463901714.69991";"около 2 тысяч";"49";"добродетельный";"4";"292";"7";"10 месяцев";"около 60 тысяч";"61";"12 / 3";"37293";"0";"17909";"18643";"13047";"18351";"3064"
"1463944916.50421";"около 3 тысяч";"49";"добродетельный";"4";"292";"7";"10 месяцев";"около 61 тысяч";"61";"12 / 3";"37294";"0";"18073";"18849";"13110";"18577";"2882"
"1463988113.56507";"около 3 тысяч";"49";"добродетельный";"4";"292";"7";"11 месяцев";"около 61 тысяч";"61";"12 / 3";"37294";"0";"17862";"18643";"12917";"18358";"3397"
"1464031316.98216";"около 3 тысяч";"49";"миролюбивый";"4";"292";"7";"11 месяцев";"около 61 тысяч";"61";"12 / 3";"37294";"0";"18082";"18828";"13035";"18587";"4076"
"1464074513.46492";"около 3 тысяч";"49";"миролюбивый";"4";"292";"7";"11 месяцев";"около 61 тысяч";"61";"12 / 3";"37294";"0";"17872";"18604";"12955";"18385";"4568"
"1464117714.32243";"около 18 сотен";"49";"миролюбивый";"4";"292";"8";"11 месяцев";"около 61 тысяч";"61";"12 / 3";"37294";"0";"18069";"17661";"12935";"18573";"5277"
"1464160914.34335";"около 4 тысяч";"49";"миролюбивый";"5";"292";"8";"11 месяцев";"около 61 тысяч";"61";"12 / 3";"37294";"0";"17724";"17423";"12700";"18297";"4827"
"1464204113.29601";"около тысячи";"49";"миролюбивый";"5";"292";"8";"11 месяцев";"около 61 тысяч";"61";"12 / 3";"37294";"0";"17931";"17621";"12798";"18521";"3951"
"1464247312.97289";"около 4 тысяч";"49";"добродетельный";"5";"292";"8";"11 месяцев";"около 61 тысяч";"61";"12 / 3";"37294";"0";"17677";"17431";"12526";"18247";"3429"
"1464290513.46184";"около 4 тысяч";"49";"добродетельный";"6";"292";"8";"11 месяцев";"около 61 тысяч";"61";"12 / 3";"37294";"0";"17897";"17562";"12621";"18430";"3046"
"1464333718.17609";"около тысячи";"49";"добродетельный";"6";"292";"8";"11 месяцев";"около 61 тысяч";"61";"12 / 3";"37294";"0";"17617";"17342";"12433";"18209";"3298"
