"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854668.43555";"около 6 тысяч";"44";"нейтральный";"10";"272";"13";"7 месяцев";"около 42 тысяч";"45";"54 / 27";"37158";"14646";"21022";"11533";"14982";"18367";"0"
"1463858534.37899";"около 6 тысяч";"44";"нейтральный";"10";"272";"13";"7 месяцев";"около 42 тысяч";"45";"54 / 27";"37158";"14647";"21040";"11540";"15000";"18381";"0"
"1463901719.82025";"около 11 тысяч";"44";"нейтральный";"11";"272";"14";"8 месяцев";"около 42 тысяч";"45";"54 / 27";"37158";"14649";"20777";"10812";"14733";"18160";"0"
"1463944921.63737";"около 4 тысяч";"44";"нейтральный";"11";"272";"14";"8 месяцев";"около 43 тысяч";"45";"55 / 27";"37158";"14034";"20972";"10879";"14834";"18330";"0"
"1463988118.68509";"около 4 тысяч";"44";"нейтральный";"12";"272";"14";"8 месяцев";"около 43 тысяч";"45";"56 / 27";"37158";"13472";"20634";"10822";"14605";"18104";"0"
"1464031322.10841";"около 4 тысяч";"44";"нейтральный";"12";"272";"14";"8 месяцев";"около 43 тысяч";"45";"56 / 27";"37158";"13478";"20775";"10878";"14648";"18290";"0"
"1464074518.58221";"около 3 тысяч";"44";"нейтральный";"12";"272";"14";"8 месяцев";"около 43 тысяч";"45";"56 / 27";"37158";"13482";"20532";"10794";"14458";"18070";"0"
"1464117719.4643";"около сотни";"44";"нейтральный";"13";"272";"14";"8 месяцев";"около 43 тысяч";"46";"56 / 27";"37158";"13491";"20692";"10865";"15455";"18288";"0"
"1464160919.45942";"около 3 тысяч";"44";"нейтральный";"14";"272";"14";"8 месяцев";"около 43 тысяч";"46";"56 / 27";"37158";"13495";"20393";"10744";"15187";"18017";"0"
"1464204118.48757";"около 2 тысяч";"44";"нейтральный";"15";"272";"14";"8 месяцев";"около 43 тысяч";"46";"56 / 27";"37158";"13498";"20595";"10831";"15304";"18252";"0"
"1464247318.10294";"около тысячи";"44";"беззлобный";"17";"272";"14";"8 месяцев";"около 43 тысяч";"46";"56 / 27";"37158";"13500";"20292";"10731";"15046";"17982";"16073"
"1464290518.58324";"около 6 тысяч";"44";"беззлобный";"18";"272";"14";"8 месяцев";"около 43 тысяч";"46";"56 / 27";"37158";"13504";"20539";"10793";"15088";"18199";"16620"
"1464333723.30956";"около 10 тысяч";"44";"беззлобный";"20";"272";"14";"8 месяцев";"около 43 тысяч";"46";"56 / 27";"37158";"13505";"20284";"10697";"14843";"17985";"15461"
