"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854683.75394";"около 14 тысяч";"90";"нейтральный";"817";"456";"";"6 лет 12 месяцев";"около 366 тысяч";"231";"86 / 91";"2805";"865";"13246";"1192";"0";"3980";"5751";"0"
"1463858549.68634";"около 14 тысяч";"90";"нейтральный";"817";"456";"";"6 лет 12 месяцев";"около 366 тысяч";"231";"86 / 91";"2805";"865";"13247";"1192";"0";"3983";"5752";"0"
"1463901735.15093";"около 6 тысяч";"90";"нейтральный";"819";"456";"";"6 лет 12 месяцев";"около 366 тысяч";"232";"86 / 91";"2803";"865";"13254";"1183";"0";"4000";"5713";"0"
"1463944936.96501";"около 6 тысяч";"90";"нейтральный";"819";"456";"";"6 лет 12 месяцев";"около 366 тысяч";"232";"86 / 91";"2805";"865";"13266";"1191";"0";"4029";"5744";"0"
"1463988134.08764";"около 6 тысяч";"90";"нейтральный";"819";"456";"";"6 лет 12 месяцев";"около 366 тысяч";"232";"86 / 91";"2806";"865";"13260";"1189";"0";"3988";"5713";"0"
"1464031337.47667";"около 2 тысяч";"90";"нейтральный";"821";"456";"";"6 лет 12 месяцев";"около 367 тысяч";"232";"86 / 91";"2807";"865";"13273";"1202";"0";"4014";"5745";"0"
"1464074533.90636";"около 3 тысяч";"90";"нейтральный";"821";"456";"";"6 лет 12 месяцев";"около 367 тысяч";"232";"86 / 91";"2807";"865";"13276";"1197";"0";"3987";"5717";"0"
"1464117734.78854";"около 3 тысяч";"90";"нейтральный";"823";"456";"";"6 лет 12 месяцев";"около 367 тысяч";"232";"86 / 91";"2807";"865";"13278";"1192";"0";"4016";"5732";"0"
"1464160934.83529";"ни одного";"90";"нейтральный";"823";"456";"";"6 лет 12 месяцев";"около 367 тысяч";"233";"86 / 91";"2812";"865";"13283";"1191";"0";"4037";"5695";"0"
"1464204133.79306";"ни одного";"90";"нейтральный";"823";"456";"";"6 лет 12 месяцев";"около 367 тысяч";"233";"86 / 91";"2813";"865";"13285";"1197";"0";"4067";"5739";"0"
"1464247333.41977";"ни одного";"90";"нейтральный";"823";"456";"";"6 лет 12 месяцев";"около 367 тысяч";"233";"86 / 91";"2814";"865";"13289";"1191";"0";"4007";"5706";"0"
"1464290533.90049";"ни одного";"90";"нейтральный";"823";"456";"";"6 лет 12 месяцев";"около 367 тысяч";"233";"86 / 91";"2817";"865";"13293";"1193";"0";"4054";"5759";"0"
"1464333738.6128";"ни одного";"90";"нейтральный";"823";"456";"";"6 лет 12 месяцев";"около 367 тысяч";"233";"86 / 91";"2821";"865";"13297";"1193";"0";"4020";"5725";"0"
