"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854740.17708";"около 15 сотен";"48";"нейтральный";"9";"288";"6";"1 год 1 месяц";"около 54 тысяч";"75";"9 / 9";"37049";"0";"19053";"19681";"27077";"18478";"0"
"1463858606.0042";"около 15 сотен";"48";"нейтральный";"9";"288";"6";"1 год 1 месяц";"около 54 тысяч";"75";"9 / 9";"37049";"0";"19075";"19698";"27097";"18493";"0"
"1463901791.37632";"около 15 сотен";"48";"нейтральный";"9";"288";"6";"1 год 2 месяца";"около 54 тысяч";"75";"9 / 9";"37049";"0";"18844";"19390";"26733";"18291";"0"
"1463944993.26086";"около 15 сотен";"48";"нейтральный";"9";"288";"6";"1 год 2 месяца";"около 54 тысяч";"75";"9 / 9";"37049";"0";"19079";"19547";"27062";"18511";"0"
"1463988190.3602";"около сотни";"48";"нейтральный";"11";"288";"7";"1 год 2 месяца";"около 54 тысяч";"76";"9 / 9";"37049";"0";"18738";"18556";"27112";"18237";"0"
"1464031393.81934";"около 4 тысяч";"48";"нейтральный";"11";"288";"7";"1 год 2 месяца";"около 54 тысяч";"76";"9 / 9";"37049";"0";"18984";"18723";"27389";"18444";"0"
"1464074590.13506";"около 2 тысяч";"48";"нейтральный";"11";"288";"7";"1 год 2 месяца";"около 54 тысяч";"76";"9 / 9";"37049";"0";"18769";"18487";"27023";"18233";"0"
"1464117791.05543";"около 2 тысяч";"48";"нейтральный";"11";"288";"7";"1 год 2 месяца";"около 54 тысяч";"76";"9 / 9";"37049";"0";"19045";"18620";"27388";"18484";"0"
"1464160991.1537";"около 4 тысяч";"48";"нейтральный";"12";"288";"7";"1 год 2 месяца";"около 55 тысяч";"76";"9 / 9";"37049";"0";"18772";"18319";"26887";"18202";"0"
"1464204190.17179";"около 4 тысяч";"48";"нейтральный";"13";"288";"7";"1 год 2 месяца";"около 55 тысяч";"76";"9 / 9";"37049";"0";"19064";"18526";"27164";"18432";"0"
"1464247389.67202";"около 4 тысяч";"48";"нейтральный";"13";"288";"7";"1 год 2 месяца";"около 55 тысяч";"76";"9 / 9";"37049";"0";"18780";"18260";"26773";"18167";"0"
"1464290590.21473";"около 4 тысяч";"48";"нейтральный";"19";"288";"7";"1 год 2 месяца";"около 55 тысяч";"76";"9 / 9";"37049";"0";"18882";"18368";"27016";"18360";"0"
"1464333794.84785";"около 6 десятков";"48";"беззлобный";"19";"288";"7";"1 год 2 месяца";"около 55 тысяч";"76";"9 / 9";"37049";"0";"18553";"18089";"26622";"18138";"18909"
