"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854755.58007";"около 5 тысяч";"65";"нейтральный";"814";"356";"16";"2 года 4 месяца";"около 127 тысяч";"151";"207 / 246";"19154";"24135";"3704";"10261";"9224";"20150";"9097";"0"
"1463858621.43648";"около 5 тысяч";"65";"нейтральный";"814";"356";"16";"2 года 4 месяца";"около 127 тысяч";"151";"207 / 246";"19154";"24135";"3704";"10270";"9229";"20177";"9104";"0"
"1463901806.70599";"около 5 тысяч";"65";"нейтральный";"814";"356";"16";"2 года 4 месяца";"около 127 тысяч";"151";"207 / 246";"19155";"24135";"3707";"10176";"9172";"19959";"9044";"0"
"1463945008.60241";"около 3 тысяч";"65";"нейтральный";"815";"356";"16";"2 года 4 месяца";"около 127 тысяч";"151";"207 / 246";"19142";"24135";"3707";"10334";"9229";"20104";"9107";"0"
"1463988205.73376";"около 6 тысяч";"65";"нейтральный";"816";"356";"16";"2 года 4 месяца";"около 127 тысяч";"151";"207 / 246";"19146";"24135";"3706";"10201";"9182";"19901";"9027";"0"
"1464031409.21858";"около тысячи";"65";"нейтральный";"816";"356";"16";"2 года 4 месяца";"около 127 тысяч";"151";"207 / 246";"19119";"24135";"3710";"10303";"9237";"20067";"9096";"0"
"1464074605.48539";"около 6 тысяч";"65";"нейтральный";"817";"356";"16";"2 года 4 месяца";"около 127 тысяч";"151";"207 / 246";"19119";"24135";"3709";"10252";"9173";"19844";"9043";"0"
"1464117806.40843";"около 17 сотен";"65";"нейтральный";"818";"356";"16";"2 года 4 месяца";"около 128 тысяч";"151";"207 / 246";"19109";"24135";"3709";"10271";"9224";"20082";"9104";"0"
"1464161006.51056";"около 17 сотен";"65";"нейтральный";"818";"356";"16";"2 года 4 месяца";"около 128 тысяч";"151";"207 / 246";"19116";"24135";"3711";"10147";"9131";"19796";"9011";"0"
"1464204205.52052";"около 17 сотен";"65";"нейтральный";"818";"356";"16";"2 года 4 месяца";"около 128 тысяч";"151";"207 / 246";"19130";"24135";"3711";"10259";"9200";"20039";"9093";"0"
"1464247405.00569";"около 17 сотен";"65";"нейтральный";"818";"356";"16";"2 года 4 месяца";"около 128 тысяч";"151";"207 / 246";"19137";"24135";"3712";"10122";"9108";"19755";"8994";"0"
"1464290605.59241";"около 6 тысяч";"65";"нейтральный";"820";"356";"16";"2 года 4 месяца";"около 128 тысяч";"151";"207 / 246";"19084";"24135";"3713";"10211";"9174";"19880";"9069";"0"
"1464333810.18847";"около 6 сотен";"65";"нейтральный";"820";"356";"16";"2 года 4 месяца";"около 128 тысяч";"152";"207 / 246";"19081";"24135";"3715";"10093";"9097";"19900";"9008";"0"
