"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854776.11146";"около 5 тысяч";"51";"нейтральный";"15";"300";"12";"1 год 8 месяцев";"около 66 тысяч";"118";"18 / 10";"36925";"0";"17359";"12275";"36575";"18329";"0"
"1463858641.89276";"около 5 тысяч";"51";"нейтральный";"15";"300";"12";"1 год 8 месяцев";"около 66 тысяч";"118";"18 / 10";"36925";"0";"17375";"12285";"36628";"18345";"0"
"1463901827.12555";"около 5 тысяч";"51";"нейтральный";"15";"300";"12";"1 год 8 месяцев";"около 66 тысяч";"118";"18 / 10";"36925";"0";"17169";"12166";"36006";"18145";"0"
"1463945029.02454";"около 5 сотен";"51";"беззлобный";"16";"300";"12";"1 год 8 месяцев";"около 66 тысяч";"119";"18 / 10";"36925";"0";"17384";"12252";"36773";"18346";"17665"
"1463988226.17848";"около 8 тысяч";"51";"беззлобный";"17";"300";"12";"1 год 8 месяцев";"около 66 тысяч";"119";"18 / 10";"36925";"0";"17292";"12178";"36184";"18138";"17949"
"1464031429.67651";"около 8 тысяч";"51";"беззлобный";"17";"300";"12";"1 год 8 месяцев";"около 66 тысяч";"119";"18 / 10";"36925";"0";"17514";"12267";"36747";"18360";"18513"
"1464074625.90592";"около 6 тысяч";"51";"беззлобный";"20";"300";"12";"1 год 8 месяцев";"около 66 тысяч";"119";"18 / 10";"36925";"0";"17139";"12158";"36020";"18064";"15758"
"1464117826.85235";"около тысячи";"51";"беззлобный";"21";"300";"12";"1 год 8 месяцев";"около 66 тысяч";"119";"18 / 10";"36925";"0";"17464";"12243";"36613";"18271";"16269"
"1464161026.95548";"около тысячи";"51";"беззлобный";"21";"300";"12";"1 год 8 месяцев";"около 66 тысяч";"119";"18 / 10";"36925";"0";"17206";"12094";"36002";"18040";"16576"
"1464204225.99715";"около 6 тысяч";"51";"беззлобный";"22";"300";"12";"1 год 8 месяцев";"около 67 тысяч";"119";"18 / 10";"36925";"0";"17471";"12213";"36603";"18256";"16224"
"1464247425.47398";"около 5 тысяч";"51";"беззлобный";"23";"300";"12";"1 год 8 месяцев";"около 67 тысяч";"119";"18 / 10";"36925";"0";"17200";"12097";"35878";"17922";"16497"
"1464290630.13165";"около 3 тысяч";"52";"добродушный";"24";"304";"12";"1 год 8 месяцев";"около 67 тысяч";"119";"18 / 10";"36925";"0";"17462";"12172";"36382";"18129";"15064"
"1464333830.62161";"около 3 сотен";"52";"добродушный";"26";"304";"12";"1 год 8 месяцев";"около 67 тысяч";"119";"18 / 10";"36925";"0";"17243";"12065";"35813";"17917";"12982"
