"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854812.05497";"около тысячи";"45";"абсолютное добро";"3";"276";"2";"8 месяцев";"около 45 тысяч";"40";"17 / 5";"37224";"0";"20562";"24118";"9048";"18503";"169"
"1463858677.6518";"около 18 сотен";"45";"абсолютное добро";"3";"276";"2";"8 месяцев";"около 45 тысяч";"40";"17 / 5";"37224";"0";"20586";"24144";"9054";"18516";"59"
"1463901862.89247";"около 5 тысяч";"45";"абсолютное добро";"3";"276";"2";"8 месяцев";"около 46 тысяч";"40";"17 / 5";"37224";"0";"20407";"23659";"8919";"18284";"25"
"1463945064.79027";"около 12 тысяч";"45";"абсолютное добро";"8";"276";"2";"8 месяцев";"около 46 тысяч";"40";"17 / 5";"37224";"0";"20656";"23885";"8943";"18487";"24"
"1463988261.96412";"около 6 тысяч";"45";"абсолютное добро";"9";"276";"3";"8 месяцев";"около 46 тысяч";"40";"17 / 5";"37224";"0";"20339";"22955";"8775";"18261";"27"
"1464031465.48611";"около 8 тысяч";"45";"абсолютное добро";"9";"276";"3";"8 месяцев";"около 46 тысяч";"40";"17 / 5";"37224";"0";"20549";"23233";"8792";"18454";"34"
"1464074661.65791";"около 4 тысяч";"45";"абсолютное добро";"10";"276";"3";"8 месяцев";"около 46 тысяч";"40";"17 / 5";"37224";"0";"20371";"22861";"8682";"18191";"19"
"1464117862.61865";"около 8 тысяч";"45";"абсолютное добро";"10";"276";"3";"8 месяцев";"около 46 тысяч";"40";"17 / 5";"37224";"0";"20674";"23081";"8718";"18430";"57"
"1464161062.71307";"около 5 тысяч";"45";"абсолютное добро";"10";"276";"3";"8 месяцев";"около 46 тысяч";"41";"17 / 5";"37224";"0";"20311";"22628";"9198";"18157";"72"
"1464204261.88893";"около 4 тысяч";"45";"абсолютное добро";"10";"276";"4";"8 месяцев";"около 46 тысяч";"41";"17 / 5";"37224";"0";"20642";"22278";"9227";"18391";"93"
"1464247461.24421";"около 3 тысяч";"45";"абсолютное добро";"10";"276";"4";"8 месяцев";"около 47 тысяч";"41";"17 / 5";"37224";"0";"20335";"21979";"9018";"18092";"60"
"1464290665.92376";"около 6 сотен";"45";"абсолютное добро!";"11";"276";"4";"8 месяцев";"около 47 тысяч";"41";"17 / 5";"37224";"0";"20605";"22165";"9075";"18305";"27"
"1464333866.37792";"около 4 тысяч";"45";"абсолютное добро";"11";"276";"4";"8 месяцев";"около 47 тысяч";"41";"17 / 5";"37224";"0";"20299";"21820";"8905";"18091";"123"
