"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854827.45082";"около 12 тысяч";"71";"добродушный";"804";"380";"37";"4 года 5 месяцев";"около 174 тысяч";"105";"42 / 48";"12228";"13233";"0";"7371";"1607";"3506";"7769";"9888"
"1463858693.02809";"около 12 тысяч";"71";"добродушный";"804";"380";"37";"4 года 5 месяцев";"около 174 тысяч";"105";"42 / 48";"12229";"13233";"0";"7375";"1607";"3509";"7774";"9967"
"1463901878.24099";"около 12 тысяч";"71";"добродушный";"804";"380";"37";"4 года 5 месяцев";"около 174 тысяч";"105";"42 / 48";"12232";"13233";"0";"7314";"1600";"3488";"7723";"10390"
"1463945080.13668";"около 4 тысяч";"71";"добродушный";"806";"380";"37";"4 года 5 месяцев";"около 174 тысяч";"105";"42 / 48";"12221";"13233";"0";"7373";"1606";"3499";"7752";"11000"
"1463988278.01161";"около 4 тысяч";"71";"добродушный";"807";"380";"37";"4 года 5 месяцев";"около 174 тысяч";"105";"42 / 48";"12219";"13233";"0";"7307";"1599";"3467";"7698";"10142"
"1464031480.91243";"около 6 тысяч";"71";"миролюбивый";"808";"380";"37";"4 года 5 месяцев";"около 174 тысяч";"105";"42 / 48";"12185";"13233";"0";"7371";"1604";"3488";"7743";"8883"
"1464074677.00068";"ни одного";"71";"миролюбивый";"808";"380";"37";"4 года 5 месяцев";"около 174 тысяч";"106";"42 / 48";"12187";"13233";"0";"7323";"1598";"3567";"7702";"9317"
"1464117877.98848";"около 16 сотен";"71";"миролюбивый";"809";"380";"37";"4 года 5 месяцев";"около 174 тысяч";"106";"42 / 48";"12182";"13233";"0";"7429";"1603";"3580";"7752";"8576"
"1464161078.07682";"около 5 тысяч";"71";"миролюбивый";"810";"380";"37";"4 года 5 месяцев";"около 174 тысяч";"106";"42 / 48";"12177";"13233";"0";"7361";"1592";"3549";"7674";"8971"
"1464204277.23406";"около 4 тысяч";"71";"миролюбивый";"810";"380";"37";"4 года 5 месяцев";"около 174 тысяч";"106";"42 / 48";"12159";"13233";"0";"7369";"1600";"3569";"7736";"8215"
"1464247476.62599";"около 8 тысяч";"71";"миролюбивый";"811";"380";"37";"4 года 5 месяцев";"около 174 тысяч";"106";"42 / 48";"12154";"13233";"0";"7261";"1577";"3514";"7667";"8603"
"1464290681.35643";"около 4 тысяч";"71";"миролюбивый";"811";"380";"37";"4 года 5 месяцев";"около 175 тысяч";"106";"42 / 48";"12150";"13233";"0";"7350";"1580";"3544";"7730";"8903"
"1464333881.72474";"около 6 тысяч";"71";"миролюбивый";"812";"380";"37";"4 года 5 месяцев";"около 175 тысяч";"106";"42 / 48";"12142";"13233";"0";"7224";"1565";"3506";"7676";"8315"
