"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854832.57532";"около 18 тысяч";"72";"миролюбивый";"816";"384";"";"4 года 4 месяца";"около 175 тысяч";"157";"19 / 23";"11848";"24788";"0";"8857";"0";"9675";"8814";"8771"
"1463858698.12953";"около 18 тысяч";"72";"миролюбивый";"816";"384";"";"4 года 4 месяца";"около 175 тысяч";"157";"19 / 23";"11848";"24788";"0";"8864";"0";"9684";"8822";"8843"
"1463901883.38097";"около 18 тысяч";"72";"миролюбивый";"816";"384";"";"4 года 4 месяца";"около 175 тысяч";"157";"19 / 23";"11849";"24788";"0";"8789";"0";"9601";"8762";"9304"
"1463945085.2427";"около 6 тысяч";"72";"миролюбивый";"818";"384";"";"4 года 4 месяца";"около 176 тысяч";"158";"19 / 23";"11835";"24788";"0";"8787";"0";"9838";"8811";"9445"
"1463988283.11791";"около 6 тысяч";"72";"добродушный";"818";"384";"";"4 года 4 месяца";"около 176 тысяч";"158";"19 / 23";"11841";"24788";"0";"8680";"0";"9706";"8737";"9889"
"1464031486.03677";"около 6 тысяч";"72";"миролюбивый";"820";"384";"";"4 года 4 месяца";"около 176 тысяч";"158";"19 / 23";"11814";"24788";"0";"8712";"0";"9753";"8806";"7744"
"1464074682.1078";"около 6 тысяч";"72";"миролюбивый";"820";"384";"";"4 года 4 месяца";"около 176 тысяч";"158";"19 / 23";"11815";"24788";"0";"8656";"0";"9691";"8758";"8184"
"1464117883.09379";"около 6 тысяч";"72";"миролюбивый";"820";"384";"";"4 года 4 месяца";"около 176 тысяч";"158";"19 / 23";"11819";"24788";"0";"8735";"0";"9803";"8819";"8856"
"1464161083.18721";"около 6 тысяч";"72";"миролюбивый";"820";"384";"";"4 года 4 месяца";"около 176 тысяч";"158";"19 / 23";"11824";"24788";"0";"8632";"0";"9664";"8729";"9235"
"1464204282.35114";"около 6 тысяч";"72";"добродушный";"820";"384";"";"4 года 4 месяца";"около 176 тысяч";"158";"19 / 23";"11830";"24788";"0";"8741";"0";"9770";"8804";"9894"
"1464247481.73224";"около 6 тысяч";"72";"добродушный";"820";"384";"";"4 года 4 месяца";"около 176 тысяч";"158";"19 / 23";"11837";"24788";"0";"8625";"0";"9633";"8719";"10266"
"1464290686.48741";"около 6 тысяч";"72";"добродушный";"820";"384";"";"4 года 4 месяца";"около 176 тысяч";"158";"19 / 23";"11840";"24788";"0";"8734";"0";"9751";"8807";"10785"
"1464333886.8288";"около 6 тысяч";"72";"добродушный";"820";"384";"";"4 года 4 месяца";"около 176 тысяч";"158";"19 / 23";"11844";"24788";"0";"8656";"0";"9645";"8746";"11283"
