"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854853.02522";"около 4 тысяч";"43";"беззлобный";"5";"268";"20";"6 месяцев";"около 41 тысяч";"40";"82 / 78";"37156";"13192";"20854";"7205";"11757";"18347";"14743"
"1463858718.56374";"около 4 тысяч";"43";"беззлобный";"5";"268";"20";"6 месяцев";"около 41 тысяч";"40";"82 / 78";"37156";"13193";"20876";"7206";"11731";"18361";"14806"
"1463901903.80401";"около 6 тысяч";"43";"беззлобный";"9";"268";"20";"6 месяцев";"около 41 тысяч";"40";"82 / 78";"37156";"13199";"20564";"7162";"11576";"18134";"15086"
"1463945105.65807";"около 5 тысяч";"43";"беззлобный";"10";"268";"20";"6 месяцев";"около 41 тысяч";"40";"82 / 78";"37156";"13209";"20721";"7202";"11613";"18284";"15595"
"1463988303.54043";"около 6 тысяч";"43";"беззлобный";"11";"268";"20";"6 месяцев";"около 42 тысяч";"40";"82 / 78";"37156";"13204";"20465";"7166";"11419";"18065";"16581"
"1464031506.50811";"около 17 сотен";"43";"беззлобный";"11";"268";"20";"6 месяцев";"около 42 тысяч";"40";"82 / 78";"37156";"13218";"20637";"7199";"11431";"18240";"17122"
"1464074702.54176";"около 4 тысяч";"43";"нейтральный";"11";"268";"20";"6 месяцев";"около 42 тысяч";"40";"82 / 78";"37156";"13220";"20395";"7169";"11296";"18038";"0"
"1464117903.52568";"около 3 тысяч";"43";"нейтральный";"12";"268";"20";"6 месяцев";"около 42 тысяч";"40";"82 / 78";"37156";"13223";"20635";"7207";"11313";"18282";"0"
"1464161103.61277";"около 6 тысяч";"43";"нейтральный";"13";"268";"20";"6 месяцев";"около 42 тысяч";"40";"82 / 78";"37156";"13224";"20336";"7142";"11138";"18045";"0"
"1464204302.7742";"около 2 тысяч";"43";"нейтральный";"14";"268";"20";"6 месяцев";"около 42 тысяч";"40";"82 / 78";"37156";"13228";"20628";"7203";"11176";"18183";"0"
"1464247502.1985";"около 6 тысяч";"43";"нейтральный";"15";"268";"20";"6 месяцев";"около 42 тысяч";"40";"82 / 78";"37156";"13232";"20324";"7132";"10946";"17900";"0"
"1464290706.93988";"около тысячи";"43";"нейтральный";"16";"268";"20";"6 месяцев";"около 42 тысяч";"40";"82 / 78";"37156";"13238";"20604";"7175";"11005";"18101";"0"
"1464333907.30603";"около 18 сотен";"44";"недовольный";"16";"272";"20";"6 месяцев";"около 42 тысяч";"41";"82 / 78";"37156";"13239";"20305";"7117";"11598";"17893";"5808"
