"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854863.28988";"около 3 тысяч";"83";"добродушный";"820";"428";"";"5 лет 11 месяцев";"около 236 тысяч";"184";"72 / 219";"4824";"8564";"0";"3417";"0";"6786";"5662";"11449"
"1463858728.79874";"около 4 тысяч";"83";"добродушный";"820";"428";"";"5 лет 11 месяцев";"около 236 тысяч";"184";"72 / 219";"4824";"8564";"0";"3420";"0";"6794";"5664";"11540"
"1463901914.02022";"около 5 тысяч";"83";"добродушный";"820";"428";"";"5 лет 11 месяцев";"около 236 тысяч";"184";"72 / 219";"4823";"8564";"0";"3396";"0";"6744";"5631";"11927"
"1463945115.90612";"ни одного";"83";"миролюбивый";"822";"428";"";"5 лет 11 месяцев";"около 237 тысяч";"185";"72 / 219";"4822";"8564";"0";"3415";"0";"6862";"5657";"9415"
"1463988313.76204";"ни одного";"83";"добродушный";"822";"428";"";"5 лет 11 месяцев";"около 237 тысяч";"185";"72 / 219";"4822";"8564";"0";"3389";"0";"6778";"5627";"9866"
"1464031516.7505";"ни одного";"83";"добродушный";"822";"428";"";"5 лет 11 месяцев";"около 237 тысяч";"185";"72 / 219";"4826";"8564";"0";"3418";"0";"6828";"5667";"10474"
"1464074712.76144";"около 18 тысяч";"83";"добродушный";"823";"428";"";"5 лет 11 месяцев";"около 237 тысяч";"185";"72 / 219";"4823";"8564";"0";"3391";"0";"6757";"5644";"9843"
"1464117913.74209";"около 18 тысяч";"83";"миролюбивый";"824";"428";"";"5 лет 11 месяцев";"около 237 тысяч";"185";"72 / 219";"4821";"8564";"0";"3415";"0";"6829";"5665";"8268"
"1464161113.83595";"около 19 тысяч";"83";"миролюбивый";"824";"428";"";"5 лет 11 месяцев";"около 237 тысяч";"185";"72 / 219";"4823";"8564";"0";"3426";"0";"6764";"5626";"8673"
"1464204312.99446";"около 15 тысяч";"83";"миролюбивый";"826";"428";"";"5 лет 11 месяцев";"около 237 тысяч";"185";"72 / 219";"4809";"8564";"0";"3443";"0";"6831";"5658";"7871"
"1464247512.42856";"около 5 тысяч";"83";"миролюбивый";"825";"428";"";"5 лет 11 месяцев";"около 237 тысяч";"185";"72 / 219";"4806";"8564";"0";"3429";"0";"6751";"5613";"7716"
"1464290717.17324";"около 18 сотен";"84";"миролюбивый";"825";"432";"";"5 лет 11 месяцев";"около 237 тысяч";"185";"72 / 219";"4789";"8564";"0";"3422";"0";"6831";"5662";"6835"
"1464333917.5254";"около 12 тысяч";"84";"миролюбивый";"827";"432";"";"5 лет 11 месяцев";"около 237 тысяч";"185";"72 / 219";"4790";"8564";"0";"3414";"0";"6733";"5622";"7418"
